,Unnamed: 0,Step,PWM_HumanoidEnv_sweep_2 - rewards,PWM_HumanoidEnv_sweep_2 - rewards__MIN,PWM_HumanoidEnv_sweep_2 - rewards__MAX,PWM_HumanoidEnv_sweep_1 - rewards,PWM_HumanoidEnv_sweep_1 - rewards__MIN,PWM_HumanoidEnv_sweep_1 - rewards__MAX,PWM_HumanoidEnv_sweep_0 - rewards,PWM_HumanoidEnv_sweep_0 - rewards__MIN,PWM_HumanoidEnv_sweep_0 - rewards__MAX
0,0,245760,124.38760375976562,124.38760375976562,124.38760375976562,107.70155334472656,107.70155334472656,107.70155334472656,99.73921966552734,99.73921966552734,99.73921966552734
1,1,307200,83.96680450439453,83.96680450439453,83.96680450439453,111.73709869384766,111.73709869384766,111.73709869384766,100.88713836669922,100.88713836669922,100.88713836669922
2,2,368640,103.54562377929688,103.54562377929688,103.54562377929688,91.17865753173828,91.17865753173828,91.17865753173828,88.11357879638672,88.11357879638672,88.11357879638672
3,3,430080,96.67432403564452,96.67432403564452,96.67432403564452,86.88255310058594,86.88255310058594,86.88255310058594,106.01382446289062,106.01382446289062,106.01382446289062
4,4,491520,73.1307373046875,73.1307373046875,73.1307373046875,101.28034210205078,101.28034210205078,101.28034210205078,83.4847183227539,83.4847183227539,83.4847183227539
5,5,552960,84.7667465209961,84.7667465209961,84.7667465209961,62.478240966796875,62.478240966796875,62.478240966796875,110.03994750976562,110.03994750976562,110.03994750976562
6,6,614400,100.33221435546876,100.33221435546876,100.33221435546876,100.22858428955078,100.22858428955078,100.22858428955078,92.79898834228516,92.79898834228516,92.79898834228516
7,7,675840,99.52570343017578,99.52570343017578,99.52570343017578,95.78091430664062,95.78091430664062,95.78091430664062,90.8855972290039,90.8855972290039,90.8855972290039
8,8,737280,120.0718002319336,120.0718002319336,120.0718002319336,80.3393325805664,80.3393325805664,80.3393325805664,115.82809448242188,115.82809448242188,115.82809448242188
9,9,798720,85.55591583251953,85.55591583251953,85.55591583251953,102.69723510742188,102.69723510742188,102.69723510742188,124.6864242553711,124.6864242553711,124.6864242553711
10,10,860160,95.46997833251952,95.46997833251952,95.46997833251952,100.29470825195312,100.29470825195312,100.29470825195312,111.06058502197266,111.06058502197266,111.06058502197266
11,11,921600,80.92814636230469,80.92814636230469,80.92814636230469,108.20182037353516,108.20182037353516,108.20182037353516,106.59779357910156,106.59779357910156,106.59779357910156
12,12,983040,126.9697494506836,126.9697494506836,126.9697494506836,114.72554779052734,114.72554779052734,114.72554779052734,123.73104095458984,123.73104095458984,123.73104095458984
13,13,1044480,125.05841827392578,125.05841827392578,125.05841827392578,101.07518005371094,101.07518005371094,101.07518005371094,113.07701873779295,113.07701873779295,113.07701873779295
14,14,1105920,99.79714965820312,99.79714965820312,99.79714965820312,79.1255111694336,79.1255111694336,79.1255111694336,124.39850616455078,124.39850616455078,124.39850616455078
15,15,1167360,109.02658081054688,109.02658081054688,109.02658081054688,96.8118896484375,96.8118896484375,96.8118896484375,148.110107421875,148.110107421875,148.110107421875
16,16,1228800,100.05421447753906,100.05421447753906,100.05421447753906,89.74260711669922,89.74260711669922,89.74260711669922,133.3149871826172,133.3149871826172,133.3149871826172
