"Step","PWM_AntEnv_sweep_2 - rewards","PWM_AntEnv_sweep_2 - rewards__MIN","PWM_AntEnv_sweep_2 - rewards__MAX","PWM_AntEnv_sweep_1 - rewards","PWM_AntEnv_sweep_1 - rewards__MIN","PWM_AntEnv_sweep_1 - rewards__MAX","PWM_AntEnv_sweep_0 - rewards","PWM_AntEnv_sweep_0 - rewards__MIN","PWM_AntEnv_sweep_0 - rewards__MAX"
"102400","106.26438903808594","106.26438903808594","106.26438903808594","41.10512161254883","41.10512161254883","41.10512161254883","177.2946014404297","177.2946014404297","177.2946014404297"
"204800","38.18666076660156","38.18666076660156","38.18666076660156","22.596561431884766","22.596561431884766","22.596561431884766","28.1169376373291","28.1169376373291","28.1169376373291"
"307200","33.30625534057617","33.30625534057617","33.30625534057617","31.10905647277832","31.10905647277832","31.10905647277832","37.0670280456543","37.0670280456543","37.0670280456543"
"409600","35.04285430908203","35.04285430908203","35.04285430908203","32.78956604003906","32.78956604003906","32.78956604003906","33.26024627685547","33.26024627685547","33.26024627685547"
"512000","34.724342346191406","34.724342346191406","34.724342346191406","32.06527328491211","32.06527328491211","32.06527328491211","44.103816986083984","44.103816986083984","44.103816986083984"
"614400","32.79140853881836","32.79140853881836","32.79140853881836","33.172325134277344","33.172325134277344","33.172325134277344","34.08066177368164","34.08066177368164","34.08066177368164"
"716800","34.50416564941406","34.50416564941406","34.50416564941406","34.614830017089844","34.614830017089844","34.614830017089844","33.472740173339844","33.472740173339844","33.472740173339844"
"819200","34.832420349121094","34.832420349121094","34.832420349121094","35.54505157470703","35.54505157470703","35.54505157470703","34.012168884277344","34.012168884277344","34.012168884277344"
"921600","37.826148986816406","37.826148986816406","37.826148986816406","35.11841583251953","35.11841583251953","35.11841583251953","34.5394172668457","34.5394172668457","34.5394172668457"
"1024000","35.405513763427734","35.405513763427734","35.405513763427734","35.10334014892578","35.10334014892578","35.10334014892578","35.290035247802734","35.290035247802734","35.290035247802734"
"1126400","37.644779205322266","37.644779205322266","37.644779205322266","35.97013473510742","35.97013473510742","35.97013473510742","36.394371032714844","36.394371032714844","36.394371032714844"
"1228800","36.76703643798828","36.76703643798828","36.76703643798828","36.38731002807617","36.38731002807617","36.38731002807617","36.73782730102539","36.73782730102539","36.73782730102539"
"1331200","36.086360931396484","36.086360931396484","36.086360931396484","35.21786880493164","35.21786880493164","35.21786880493164","40.47248458862305","40.47248458862305","40.47248458862305"
"1433600","35.68769073486328","35.68769073486328","35.68769073486328","32.19061279296875","32.19061279296875","32.19061279296875","38.463932037353516","38.463932037353516","38.463932037353516"
"1536000","37.21961212158203","37.21961212158203","37.21961212158203","34.540611267089844","34.540611267089844","34.540611267089844","45.68741226196289","45.68741226196289","45.68741226196289"
"1638400","36.4111213684082","36.4111213684082","36.4111213684082","34.53752899169922","34.53752899169922","34.53752899169922","34.79082107543945","34.79082107543945","34.79082107543945"
"1740800","37.47654342651367","37.47654342651367","37.47654342651367","35.760189056396484","35.760189056396484","35.760189056396484","35.30134201049805","35.30134201049805","35.30134201049805"
"1843200","38.4799690246582","38.4799690246582","38.4799690246582","33.32659912109375","33.32659912109375","33.32659912109375","35.98434066772461","35.98434066772461","35.98434066772461"
"1945600","44.07680130004883","44.07680130004883","44.07680130004883","33.62750244140625","33.62750244140625","33.62750244140625","42.05588150024414","42.05588150024414","42.05588150024414"
"2048000","46.826904296875","46.826904296875","46.826904296875","37.488651275634766","37.488651275634766","37.488651275634766","37.22312927246094","37.22312927246094","37.22312927246094"
"2150400","33.70113754272461","33.70113754272461","33.70113754272461","34.030757904052734","34.030757904052734","34.030757904052734","37.49701690673828","37.49701690673828","37.49701690673828"
"2252800","36.69861602783203","36.69861602783203","36.69861602783203","34.63579559326172","34.63579559326172","34.63579559326172","37.32735824584961","37.32735824584961","37.32735824584961"
"2355200","35.292694091796875","35.292694091796875","35.292694091796875","37.80814743041992","37.80814743041992","37.80814743041992","39.55785369873047","39.55785369873047","39.55785369873047"
"2457600","35.83612060546875","35.83612060546875","35.83612060546875","36.74922180175781","36.74922180175781","36.74922180175781","39.808536529541016","39.808536529541016","39.808536529541016"
"2560000","37.92232894897461","37.92232894897461","37.92232894897461","36.12802505493164","36.12802505493164","36.12802505493164","48.1328010559082","48.1328010559082","48.1328010559082"
"2662400","38.03506851196289","38.03506851196289","38.03506851196289","42.69423294067383","42.69423294067383","42.69423294067383","39.86404800415039","39.86404800415039","39.86404800415039"
"2764800","43.684730529785156","43.684730529785156","43.684730529785156","39.86135482788086","39.86135482788086","39.86135482788086","53.14046096801758","53.14046096801758","53.14046096801758"
"2867200","43.23566818237305","43.23566818237305","43.23566818237305","36.25246810913086","36.25246810913086","36.25246810913086","41.37832260131836","41.37832260131836","41.37832260131836"
"2969600","50.44607162475586","50.44607162475586","50.44607162475586","45.01431655883789","45.01431655883789","45.01431655883789","43.034969329833984","43.034969329833984","43.034969329833984"
"3072000","46.85264587402344","46.85264587402344","46.85264587402344","42.55166244506836","42.55166244506836","42.55166244506836","41.21650314331055","41.21650314331055","41.21650314331055"
"3174400","63.121337890625","63.121337890625","63.121337890625","37.16014862060547","37.16014862060547","37.16014862060547","53.440452575683594","53.440452575683594","53.440452575683594"
"3276800","50.14072799682617","50.14072799682617","50.14072799682617","41.462581634521484","41.462581634521484","41.462581634521484","36.51771926879883","36.51771926879883","36.51771926879883"
"3379200","41.71005630493164","41.71005630493164","41.71005630493164","44.099754333496094","44.099754333496094","44.099754333496094","44.26494216918945","44.26494216918945","44.26494216918945"
"3481600","53.84639358520508","53.84639358520508","53.84639358520508","38.091548919677734","38.091548919677734","38.091548919677734","39.948509216308594","39.948509216308594","39.948509216308594"
"3584000","46.77273941040039","46.77273941040039","46.77273941040039","39.06052780151367","39.06052780151367","39.06052780151367","49.39515686035156","49.39515686035156","49.39515686035156"
"3686400","56.10261917114258","56.10261917114258","56.10261917114258","37.162132263183594","37.162132263183594","37.162132263183594","54.07234191894531","54.07234191894531","54.07234191894531"
"3788800","48.867591857910156","48.867591857910156","48.867591857910156","39.254066467285156","39.254066467285156","39.254066467285156","62.8824577331543","62.8824577331543","62.8824577331543"
"3891200","54.49457550048828","54.49457550048828","54.49457550048828","49.72823715209961","49.72823715209961","49.72823715209961","49.352699279785156","49.352699279785156","49.352699279785156"
"3993600","51.72738265991211","51.72738265991211","51.72738265991211","47.74959945678711","47.74959945678711","47.74959945678711","49.64638137817383","49.64638137817383","49.64638137817383"
"4096000","54.706546783447266","54.706546783447266","54.706546783447266","44.48777770996094","44.48777770996094","44.48777770996094","55.12647247314453","55.12647247314453","55.12647247314453"
"4198400","55.83880615234375","55.83880615234375","55.83880615234375","66.49776458740234","66.49776458740234","66.49776458740234","48.798828125","48.798828125","48.798828125"
"4300800","57.843994140625","57.843994140625","57.843994140625","50.56553268432617","50.56553268432617","50.56553268432617","56.233734130859375","56.233734130859375","56.233734130859375"
"4403200","54.13096237182617","54.13096237182617","54.13096237182617","46.43074417114258","46.43074417114258","46.43074417114258","46.938899993896484","46.938899993896484","46.938899993896484"
"4505600","84.02448272705078","84.02448272705078","84.02448272705078","48.04453659057617","48.04453659057617","48.04453659057617","49.98004150390625","49.98004150390625","49.98004150390625"
"4608000","46.13992691040039","46.13992691040039","46.13992691040039","56.381317138671875","56.381317138671875","56.381317138671875","54.18294906616211","54.18294906616211","54.18294906616211"
"4710400","54.607421875","54.607421875","54.607421875","64.14053344726562","64.14053344726562","64.14053344726562","59.98426055908203","59.98426055908203","59.98426055908203"
"4812800","53.96247863769531","53.96247863769531","53.96247863769531","51.78608322143555","51.78608322143555","51.78608322143555","45.35117721557617","45.35117721557617","45.35117721557617"
"4915200","60.5610466003418","60.5610466003418","60.5610466003418","64.15396118164062","64.15396118164062","64.15396118164062","51.1865119934082","51.1865119934082","51.1865119934082"
"5017600","59.85345458984375","59.85345458984375","59.85345458984375","59.31888198852539","59.31888198852539","59.31888198852539","50.01061248779297","50.01061248779297","50.01061248779297"
"5120000","64.29467010498047","64.29467010498047","64.29467010498047","69.59685516357422","69.59685516357422","69.59685516357422","50.7646484375","50.7646484375","50.7646484375"
"5222400","53.224212646484375","53.224212646484375","53.224212646484375","72.9112319946289","72.9112319946289","72.9112319946289","55.78644561767578","55.78644561767578","55.78644561767578"
"5324800","65.6795883178711","65.6795883178711","65.6795883178711","73.15652465820312","73.15652465820312","73.15652465820312","52.113739013671875","52.113739013671875","52.113739013671875"
"5427200","72.17715454101562","72.17715454101562","72.17715454101562","80.77781677246094","80.77781677246094","80.77781677246094","62.364715576171875","62.364715576171875","62.364715576171875"
"5529600","68.18195343017578","68.18195343017578","68.18195343017578","83.30679321289062","83.30679321289062","83.30679321289062","55.88847351074219","55.88847351074219","55.88847351074219"
"5632000","72.28093719482422","72.28093719482422","72.28093719482422","95.79220581054688","95.79220581054688","95.79220581054688","52.84717559814453","52.84717559814453","52.84717559814453"
"5734400","85.05570220947266","85.05570220947266","85.05570220947266","85.82914733886719","85.82914733886719","85.82914733886719","53.85038757324219","53.85038757324219","53.85038757324219"
"5836800","79.54652404785156","79.54652404785156","79.54652404785156","102.17526245117188","102.17526245117188","102.17526245117188","55.503318786621094","55.503318786621094","55.503318786621094"
"5939200","88.56463623046875","88.56463623046875","88.56463623046875","96.76661682128906","96.76661682128906","96.76661682128906","51.92277145385742","51.92277145385742","51.92277145385742"
"6041600","82.41071319580078","82.41071319580078","82.41071319580078","98.74854278564453","98.74854278564453","98.74854278564453","57.14350509643555","57.14350509643555","57.14350509643555"
"6144000","81.7768325805664","81.7768325805664","81.7768325805664","96.80032348632812","96.80032348632812","96.80032348632812","56.4649543762207","56.4649543762207","56.4649543762207"
"6246400","94.10494232177734","94.10494232177734","94.10494232177734","98.9898681640625","98.9898681640625","98.9898681640625","53.435546875","53.435546875","53.435546875"
"6348800","102.64693450927734","102.64693450927734","102.64693450927734","104.7706527709961","104.7706527709961","104.7706527709961","57.332401275634766","57.332401275634766","57.332401275634766"
"6451200","101.11495971679688","101.11495971679688","101.11495971679688","106.84791564941406","106.84791564941406","106.84791564941406","67.40387725830078","67.40387725830078","67.40387725830078"
"6553600","103.88668823242188","103.88668823242188","103.88668823242188","99.35858154296875","99.35858154296875","99.35858154296875","58.81768798828125","58.81768798828125","58.81768798828125"
"6656000","110.1827392578125","110.1827392578125","110.1827392578125","106.16905212402344","106.16905212402344","106.16905212402344","56.96541976928711","56.96541976928711","56.96541976928711"
"6758400","119.97178649902344","119.97178649902344","119.97178649902344","105.42103576660156","105.42103576660156","105.42103576660156","54.26165771484375","54.26165771484375","54.26165771484375"
"6860800","121.47991943359375","121.47991943359375","121.47991943359375","111.93858337402344","111.93858337402344","111.93858337402344","63.29188919067383","63.29188919067383","63.29188919067383"
