,Unnamed: 0,iteration,total_time,actor_loss,value_loss,actor_grad_norm,critic_grad_norm,episode_reward,episode_success,_timestamp,_runtime,episode_reward_planning,episode_success_planning,task
1000,1000,99999,13608.14215874672,-2.011164426803589,1.048436403274536,0.0305102840065956,5.062524795532227,91.4000015258789,0.0,1716338695,13976,182.8000030517578,0.0,cartpole-swingup-sparse
1000,1000,99999,14489.547533035278,-6.318641185760498,0.0132895112037658,0.0082996785640716,1.2127071619033811,1605.125732421875,1.0,1716324749,14680,1529.599853515625,1.0,mw-push-wall
1000,1000,99999,12772.533343553543,-2.4078023433685303,79.7746353149414,0.119348257780075,195.06124877929688,758.4555053710938,1.0,1716346348,12977,192.71975708007812,0.0,mw-assembly
1000,1000,99999,12702.965793848038,2.316652774810791,394277.96875,0.4080277979373932,1254197.125,1218.781005859375,1.0,1716346278,12873,151.30990600585938,0.0,mw-button-press-topdown
1000,1000,99999,13202.57896733284,-0.7830362319946289,11668.4365234375,0.0887968391180038,43728.59375,1660.006103515625,0.9,1716323328,13361,1472.283935546875,0.8,mw-plate-slide-back-side
1000,1000,99999,12793.397035598757,-9.91284465789795,0.0004508532292675,0.001206170185469,0.6297138929367065,1676.207763671875,1.0,1716322860,12974,1391.26220703125,1.0,mw-plate-slide
1000,1000,99999,12699.213639974594,-18.22634506225586,0.0007808643276803,0.003733230754733,0.3314900994300842,1286.990966796875,0.9,1716322387,12850,665.3267211914062,0.0,mw-hammer
1000,1000,99999,13235.894724607468,-1.3248801231384275,93234392.0,0.5161126852035522,111920376.0,1230.3482666015625,0.6,1716323613,13422,757.1963500976562,0.6,mw-soccer
1000,1000,99999,13157.884709358215,-20.267841339111328,0.0040671378374099,0.026628527790308,0.2590409517288208,793.0,0.0,1716338343,13513,521.5,0.0,finger-turn-hard
1000,1000,99999,12893.477571249008,-12.455931663513184,0.0020807676482945,0.0087704872712492,0.2818447649478912,513.6318969726562,0.0,1716338330,13256,211.7060089111328,0.0,cheetah-run-back
1000,1000,99999,12692.701025009155,0.1608268469572067,26332.939453125,0.9806860685348512,42658.81640625,987.2428588867188,0.6,1716322702,12857,34.98928451538086,0.0,mw-pick-place-wall
1000,1000,99999,12592.5912566185,-5.081670761108398,0.0409238412976264,0.0060272491537034,0.9953544735908508,1320.5855712890625,0.9,1716322481,12769,1010.8283081054688,0.1,mw-lever-pull
1000,1000,99999,12690.435667037964,-8.272317886352539,0.0171112995594739,0.0072005209513008,0.4448050260543823,1427.611328125,1.0,1716322634,12873,1124.255615234375,0.8,mw-peg-unplug-side
1000,1000,99999,13354.812755584717,-5.267011642456055,0.0533533692359924,0.0129343746230006,0.9288773536682128,736.5880737304688,1.0,1716346968,13520,647.0916748046875,0.6,mw-button-press-topdown-wall
1000,1000,99999,12871.598563432692,-5.90548038482666,0.0348050184547901,0.0116784516721963,2.0093812942504883,1804.890380859375,1.0,1716346575,13018,1703.397705078125,1.0,mw-plate-slide-back
1000,1000,99999,12763.362089157104,-1.9466147422790527,28970716.0,0.2568695843219757,33303798.0,12.069921493530272,0.0,1716337657,13098,2.0908799171447754,0.0,acrobot-swingup
1000,1000,99999,12943.763574838638,-6.895120143890381,0.0021891954820603,0.0038845986127853,0.2053328454494476,784.2000122070312,0.0,1716338455,13271,679.7999877929688,0.0,reacher-three-hard
1000,1000,99999,13226.828164339066,-0.7093256711959839,52.09601211547851,0.0224773399531841,46.54837417602539,1244.28173828125,1.0,1716323631,13410,648.3978881835938,0.0,mw-stick-push
1000,1000,99999,12894.78836107254,-16.047000885009766,0.0008831432205624,0.0043509919196367,0.7131564021110535,1564.974853515625,0.6,1716346509,13043,1414.009765625,0.1,mw-button-press
1000,1000,99999,13707.347383499146,-44.630340576171875,0.0003567402891349,0.0078262696042656,0.1887484639883041,942.7999877929688,0.0,1716338793,14053,196.0,0.0,cup-catch
1000,1000,99999,13704.206784248352,-20.622604370117188,0.0381922088563442,0.1252845674753189,0.2529381513595581,937.2000122070312,0.0,1716338820,14050,266.0,0.0,finger-spin
1000,1000,99999,13583.134832143784,-6.099892616271973,0.0013272345531731,0.0055889980867505,0.1086105033755302,564.1826782226562,0.0,1716338828,13964,364.65716552734375,0.0,fish-swim
1000,1000,99999,12857.076667785645,-13.78191375732422,0.0013843711931258,0.0101341120898723,0.3488948941230774,362.9550476074219,0.0,1716338230,13198,267.34991455078125,0.0,cheetah-run-front
1000,1000,99999,12729.001317739489,-6.8347978591918945,0.0018944443436339,0.0014732239069417,0.2340505421161651,6.476309299468994,1.0,1716322547,12912,6.173596382141113,0.0,mw-handle-pull-side
1000,1000,99999,12850.591902256012,-0.3961596488952636,1551.1014404296875,0.0206221211701631,3080.4931640625,442.75482177734375,0.3,1716323191,13031,619.4329833984375,0.6,mw-shelf-place
1000,1000,99999,12710.91447520256,-0.3819412291049957,110891.1015625,0.2473171055316925,497792.3125,1878.9202880859375,1.0,1716322471,12874,1421.4442138671875,0.6,mw-handle-press
1000,1000,99999,12776.277092933657,-11.96554946899414,0.0004827245720662,0.0031805888283997,0.4488451480865478,987.7999877929688,0.0,1716337624,13126,982.2999877929688,0.0,reacher-easy
1000,1000,99999,12677.712697505953,-1.257103681564331,53.82447052001953,0.0304080191999673,104.4358139038086,857.43701171875,0.9,1716322067,12835,399.5213317871094,0.4,mw-coffee-pull
1000,1000,99999,12816.51350736618,-13.838218688964844,0.001551270019263,0.0095277121290564,0.3643443882465362,724.75927734375,0.0,1716337597,13160,396.29193115234375,0.0,walker-run
1000,1000,99999,12846.979420661926,-10.95947265625,0.0009770549368113,0.0079139396548271,0.0784083008766174,218.53793334960935,0.0,1716337629,13168,209.9713897705078,0.0,cheetah-run
1000,1000,99999,12954.949172973633,-8.415983200073242,0.0018704528920352,0.0035394835285842,0.2167879343032837,343.94464111328125,0.0,1716338181,13299,169.98292541503906,0.0,hopper-stand
1000,1000,99999,14086.48933672905,-10.390870094299316,0.0105443093925714,0.0231127776205539,0.4466927647590637,269.81195068359375,0.0,1716339539,14416,80.87120819091797,0.0,hopper-hop-backwards
1000,1000,99999,13617.499908685684,-19.511985778808594,0.0010179738746955,0.0095748612657189,0.0822167173027992,984.6345825195312,0.0,1716338409,14002,929.0676879882812,0.0,walker-walk
1000,1000,99999,14931.040796518326,-7.689260482788086,0.0015076111303642,0.001967292279005,0.3995116055011749,1478.333740234375,1.0,1716325423,15111,1312.103515625,1.0,mw-sweep
1000,1000,99999,12820.039009094238,-20.367935180664062,0.0021836541127413,0.0075840600766241,2.1805198192596436,1753.153564453125,1.0,1716346523,12983,1650.4827880859375,1.0,mw-coffee-button
1000,1000,99999,12698.74883556366,0.1460387557744979,4327.3857421875,0.0849453657865524,7965.5087890625,93.73351287841795,1.0,1716322186,12863,77.52897644042969,0.0,mw-disassemble
1000,1000,99999,13209.421753883362,-8.004753112792969,0.0023066664580255,0.00428311759606,0.5359193086624146,788.7422485351562,0.9,1716324372,13390,439.17718505859375,0.1,mw-box-close
1000,1000,99999,13381.21838259697,-18.018634796142575,0.0010765208862721,0.015563927590847,0.3072647154331207,312.6195983886719,0.0,1716338747,13734,354.37677001953125,0.0,cheetah-run-backwards
1000,1000,99999,12850.20149421692,-15.978891372680664,0.0040194084867835,0.0284121558070182,0.3560399413108825,471.79400634765625,0.0,1716338162,13185,244.97970581054688,0.0,walker-run-backwards
1000,1000,99999,12858.47719669342,-7.286962032318115,0.0029125458095222,0.0029603070579469,0.2435953617095947,1720.479248046875,1.0,1716346628,13008,1114.856689453125,0.7,mw-hand-insert
