Step,FOWM_SNUHumanoidEnv_sweep_4 - rewards,FOWM_SNUHumanoidEnv_sweep_4 - rewards__MIN,FOWM_SNUHumanoidEnv_sweep_4 - rewards__MAX,FOWM_SNUHumanoidEnv_sweep_3 - rewards,FOWM_SNUHumanoidEnv_sweep_3 - rewards__MIN,FOWM_SNUHumanoidEnv_sweep_3 - rewards__MAX,FOWM_SNUHumanoidEnv_sweep_2 - rewards,FOWM_SNUHumanoidEnv_sweep_2 - rewards__MIN,FOWM_SNUHumanoidEnv_sweep_2 - rewards__MAX,FOWM_SNUHumanoidEnv_sweep_1 - rewards,FOWM_SNUHumanoidEnv_sweep_1 - rewards__MIN,FOWM_SNUHumanoidEnv_sweep_1 - rewards__MAX,FOWM_SNUHumanoidEnv_sweep_0 - rewards,FOWM_SNUHumanoidEnv_sweep_0 - rewards__MIN,FOWM_SNUHumanoidEnv_sweep_0 - rewards__MAX
26624.0,22.147424697875977,22.147424697875977,22.147424697875977,26.528459548950195,26.528459548950195,26.528459548950195,26.260677337646484,26.260677337646484,26.260677337646484,24.72547149658203,24.72547149658203,24.72547149658203,22.200265884399418,22.200265884399418,22.200265884399418
52224.0,29.95537155679304,29.95537155679304,29.95537155679304,39.42007702401716,39.42007702401716,39.42007702401716,45.997893033538645,45.997893033538645,45.997893033538645,38.508927045379465,38.508927045379465,38.508927045379465,36.74908321908552,36.74908321908552,36.74908321908552
77824.0,60.67769721339272,60.67769721339272,60.67769721339272,55.72325042079018,55.72325042079018,55.72325042079018,58.97089675257729,58.97089675257729,58.97089675257729,45.94229319880532,45.94229319880532,45.94229319880532,51.04539397547768,51.04539397547768,51.04539397547768
103424.0,73.94346551221669,73.94346551221669,73.94346551221669,72.43297128003896,72.43297128003896,72.43297128003896,78.256774228037,78.256774228037,78.256774228037,72.36781052869618,72.36781052869618,72.36781052869618,64.91802720350087,64.91802720350087,64.91802720350087
129024.0,97.02831570698471,97.02831570698471,97.02831570698471,91.50902669026108,91.50902669026108,91.50902669026108,91.3505107600853,91.3505107600853,91.3505107600853,92.11250035359116,92.11250035359116,92.11250035359116,85.46742741657944,85.46742741657944,85.46742741657944
154624.0,115.98418982582433,115.98418982582433,115.98418982582433,105.36674292641027,105.36674292641027,105.36674292641027,109.08400137977941,109.08400137977941,109.08400137977941,112.4149626071964,112.4149626071964,112.4149626071964,104.71053488808019,104.71053488808019,104.71053488808019
180224.0,136.95431317979356,136.95431317979356,136.95431317979356,122.14213170701524,122.14213170701524,122.14213170701524,118.13572873765489,118.13572873765489,118.13572873765489,135.6783198326256,135.6783198326256,135.6783198326256,133.25459470445176,133.25459470445176,133.25459470445176
205824.0,141.19850488086956,141.19850488086956,141.19850488086956,143.09872575184124,143.09872575184124,143.09872575184124,143.6690592326762,143.6690592326762,143.6690592326762,153.07415337940472,153.07415337940472,153.07415337940472,146.79172082325238,146.79172082325238,146.79172082325238
231424.0,162.18873791742607,162.18873791742607,162.18873791742607,161.31863217401786,161.31863217401786,161.31863217401786,161.252256441596,161.252256441596,161.252256441596,157.3495998864202,157.3495998864202,157.3495998864202,161.48999981928154,161.48999981928154,161.48999981928154
257024.0,180.20383520075865,180.20383520075865,180.20383520075865,178.4252211565692,178.4252211565692,178.4252211565692,174.26859731623716,174.26859731623716,174.26859731623716,178.00315923640318,178.00315923640318,178.00315923640318,170.95342893549986,170.95342893549986,170.95342893549986
282624.0,195.87129772222625,195.87129772222625,195.87129772222625,191.40484416998015,191.40484416998015,191.40484416998015,198.64224041021453,198.64224041021453,198.64224041021453,198.24567211187468,198.24567211187468,198.24567211187468,190.60989177740203,190.60989177740203,190.60989177740203
308224.0,208.6228213700358,208.6228213700358,208.6228213700358,209.7684035691325,209.7684035691325,209.7684035691325,203.48877863016764,203.48877863016764,203.48877863016764,212.87908510294596,212.87908510294596,212.87908510294596,215.31788210001628,215.31788210001628,215.31788210001628
333824.0,225.60421285492055,225.60421285492055,225.60421285492055,225.2279425607311,225.2279425607311,225.2279425607311,225.66665372711293,225.66665372711293,225.66665372711293,220.61381635528676,220.61381635528676,220.61381635528676,226.99882612091176,226.99882612091176,226.99882612091176
359424.0,241.42171615826405,241.42171615826405,241.42171615826405,241.2100252555541,241.2100252555541,241.2100252555541,245.4808706687621,245.4808706687621,245.4808706687621,239.7786878989867,239.7786878989867,239.7786878989867,238.26747078167713,238.26747078167713,238.26747078167713
385024.0,266.480444845709,266.480444845709,266.480444845709,254.02239888623632,254.02239888623632,254.02239888623632,253.92522138074315,253.92522138074315,253.92522138074315,246.92534726575292,246.92534726575292,246.92534726575292,256.9988774628965,256.9988774628965,256.9988774628965
410624.0,285.99217930994666,285.99217930994666,285.99217930994666,276.48199406824745,276.48199406824745,276.48199406824745,269.82806721888215,269.82806721888215,269.82806721888215,277.9713358040873,277.9713358040873,277.9713358040873,279.85654774866737,279.85654774866737,279.85654774866737
436224.0,292.7982217680323,292.7982217680323,292.7982217680323,297.1948701750147,297.1948701750147,297.1948701750147,292.4267846952784,292.4267846952784,292.4267846952784,282.01320666183113,282.01320666183113,282.01320666183113,290.5375558744776,290.5375558744776,290.5375558744776
