task,seed,episode_reward,episode_success
walker-stand,0,997.1582641601562,0.0
walker-stand,1,996.9288940429688,0.0
walker-stand,2,982.5181274414062,0.0
walker-stand,3,983.8067626953125,0.0
walker-stand,4,983.456298828125,0.0
walker-stand,5,984.8829956054688,0.0
walker-stand,6,984.749755859375,0.0
walker-stand,7,983.4728393554688,0.0
walker-stand,8,997.1690673828125,0.0
walker-stand,9,997.6260375976562,0.0
walker-walk,0,989.493896484375,0.0
walker-walk,1,976.1177978515625,0.0
walker-walk,2,973.0957641601562,0.0
walker-walk,3,972.6439819335938,0.0
walker-walk,4,973.8682861328125,0.0
walker-walk,5,971.1484375,0.0
walker-walk,6,975.3932495117188,0.0
walker-walk,7,973.8731079101562,0.0
walker-walk,8,989.5311279296875,0.0
walker-walk,9,994.4412231445312,0.0
walker-run,0,623.2495727539062,0.0
walker-run,1,592.7410278320312,0.0
walker-run,2,648.5203247070312,0.0
walker-run,3,600.25146484375,0.0
walker-run,4,600.138671875,0.0
walker-run,5,638.1653442382812,0.0
walker-run,6,637.5789184570312,0.0
walker-run,7,610.092041015625,0.0
walker-run,8,606.37939453125,0.0
walker-run,9,618.8424682617188,0.0
cheetah-run,0,310.82757568359375,0.0
cheetah-run,1,29.59493637084961,0.0
cheetah-run,2,71.77273559570312,0.0
cheetah-run,3,26.15087127685547,0.0
cheetah-run,4,127.1875228881836,0.0
cheetah-run,5,224.88963317871094,0.0
cheetah-run,6,209.43234252929688,0.0
cheetah-run,7,200.66436767578125,0.0
cheetah-run,8,259.66436767578125,0.0
cheetah-run,9,20.39169692993164,0.0
reacher-easy,0,990.0,0.0
reacher-easy,1,965.0,0.0
reacher-easy,2,985.0,0.0
reacher-easy,3,979.0,0.0
reacher-easy,4,982.0,0.0
reacher-easy,5,971.0,0.0
reacher-easy,6,977.0,0.0
reacher-easy,7,985.0,0.0
reacher-easy,8,984.0,0.0
reacher-easy,9,996.0,0.0
reacher-hard,0,988.0,0.0
reacher-hard,1,962.0,0.0
reacher-hard,2,982.0,0.0
reacher-hard,3,972.0,0.0
reacher-hard,4,980.0,0.0
reacher-hard,5,944.0,0.0
reacher-hard,6,966.0,0.0
reacher-hard,7,980.0,0.0
reacher-hard,8,980.0,0.0
reacher-hard,9,991.0,0.0
acrobot-swingup,0,22.45552635192871,0.0
acrobot-swingup,1,0.3565976321697235,0.0
acrobot-swingup,2,0.08574777096509933,0.0
acrobot-swingup,3,0.39031222462654114,0.0
acrobot-swingup,4,9.910884857177734,0.0
acrobot-swingup,5,34.08110427856445,0.0
acrobot-swingup,6,0.4990333914756775,0.0
acrobot-swingup,7,0.3571327030658722,0.0
acrobot-swingup,8,28.320283889770508,0.0
acrobot-swingup,9,0.37796011567115784,0.0
pendulum-swingup,0,941.0,0.0
pendulum-swingup,1,764.0,0.0
pendulum-swingup,2,646.0,0.0
pendulum-swingup,3,837.0,0.0
pendulum-swingup,4,767.0,0.0
pendulum-swingup,5,693.0,0.0
pendulum-swingup,6,769.0,0.0
pendulum-swingup,7,935.0,0.0
pendulum-swingup,8,942.0,0.0
pendulum-swingup,9,854.0,0.0
cartpole-balance,0,993.095703125,0.0
cartpole-balance,1,991.5892944335938,0.0
cartpole-balance,2,991.0916137695312,0.0
cartpole-balance,3,989.880126953125,0.0
cartpole-balance,4,988.6795043945312,0.0
cartpole-balance,5,989.0493774414062,0.0
cartpole-balance,6,992.0505981445312,0.0
cartpole-balance,7,990.4105224609375,0.0
cartpole-balance,8,990.5164794921875,0.0
