"Step","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward__MAX"
"0","81.4709323064199","7.765294048206156","202.69328381908375","107.00297932008435","4.0436677872592615","221.87821369904964","61.22829073122443","16.17052813036806","88.42625292632428"
"2500","102.9638667791849","76.28784352964165","116.52709623645566","137.3319520941283","77.36580642174843","198.08983086389264","180.94002731646563","136.18231113160883","243.9735243799612"
"5000","119.20981067191347","90.77897625672271","141.5995002330345","90.01891248272585","46.92159918365192","127.65881829193071","57.081682115678035","41.837530167039766","68.91589519326331"
"7500","11.030363649800305","0.17213297385152806","31.789328223921153","3.8104128861557505","0.24355083788862752","6.481679634736582","14.843006930923274","2.044718100111777","35.13252217204754"
"10000","4.659953786629615","0.6476621479250129","8.813181288431583","25.7097903620777","3.8240010984221278","48.607915996426456","31.829342413087385","19.525692705434004","51.26283372208045"
"12500","73.88386117003228","34.408607769267576","149.4896124601976","77.17777311578514","5.9168985561150595","182.3775684099182","23.95381092586533","13.832466743846016","41.330677842190724"
"15000","194.9274836330478","158.5404930012755","243.4643902203481","171.92292104607213","5.496530271288881","255.71070849005386","103.684875529929","11.54122851141069","159.56567989491188"
"17500","113.14286288454889","45.020838220178874","227.21693627480346","95.59058505627776","17.726798093624218","134.70554116868203","88.50942915477005","40.858207444718026","163.98454658430697"
"20000","175.95092219286423","111.8858655329899","237.09257765634734","162.78542393055181","152.2286899561327","183.50521309550908","98.34088550656348","9.148701046200255","155.81137779962108"
"22500","163.6869783271384","105.51536198357947","217.24059969182403","143.71027843540847","131.4476990068395","161.96568628509996","128.9834608737015","74.11349355248431","200.82649245273223"
"25000","141.1565045458303","39.260179821646275","202.982904141324","125.22437870433755","67.72810413429029","176.3487745162882","82.73444383465524","8.998122381771486","190.49129370030738"
"27500","447.58429665736804","140.86710091436862","735.2919798426423","61.56068343412907","9.268829743172954","133.33951578560945","64.43212840218636","3.878833844245764","183.13915461896886"
"30000","252.72048217301844","30.356349115629325","365.6109082444212","135.0827969754565","134.09542975898142","136.95780412569775","120.69477084357459","4.4966450344403714","226.9602022826868"
"32500","246.69289486338675","48.53935984855168","486.31730511095805","258.77759497309665","135.6834455219214","482.9688480241149","172.62166796289475","8.153714112512114","355.95003454006047"
"35000","223.58262599894374","163.2524270325532","325.5566037185984","127.3918430611016","14.55053750365525","207.23403358458148","120.0397716844235","7.470644621724745","286.8608426022323"
"37500","307.9343278670393","235.1001313214925","384.7967520861955","153.20619872665785","124.63123906174997","183.19394633369674","125.01346666585296","83.45325600785102","153.8998329567449"
"40000","358.00882506945555","169.50074921593833","566.278199553608","421.30947722049046","129.98375360514265","805.5127728794699","119.93791061172932","61.755531183228165","172.18530596718654"
"42500","310.22233229206216","195.64684156575575","489.1199099690108","181.69891582272408","140.9273849081672","246.6953758660771","178.14974166186562","142.42178987282395","245.1074121568593"
"45000","520.9313038288786","198.17860663110616","815.0697313985256","474.7065840182545","132.69857753334787","830.0085958501355","177.30896354184446","129.1564655235767","216.48809930303804"
"47500","360.8403341814294","134.66494341846933","789.5771940648563","359.3796152141992","131.41035247339045","806.75674562063","193.56826874366274","146.38189336936958","287.5236568501813"
"50000","570.6717237495808","419.2171291283438","724.3438598919774","552.4026665092971","145.3235781950936","834.456557214419","160.03986452592298","118.78094723647351","216.36236704437974"
"52500","387.533249461319","110.81994786972595","687.8164894794828","212.25192182210762","132.06969087862873","336.72100822088476","154.6023198316109","57.18321948418128","267.29103415392666"
"55000","674.0423694765135","611.8068257144671","724.6546966339334","359.743725614236","133.794838256157","809.4024902024593","297.061650868385","167.17434668993369","478.4933669291392"
"57500","400.12879980109557","129.35921196883555","546.5134481676075","356.9205168289014","135.84653261028694","780.477324414973","181.24271670450898","121.6992012438786","232.45718614553238"
"60000","376.8526210202154","162.0772614122361","552.8759147148681","360.0307849401167","133.27785650287245","777.0370074288751","360.4061581961269","319.2440006864892","429.9269760847677"
"62500","446.6259898254261","225.88523240409253","685.689085891465","304.5581411849953","138.9040140379901","625.7081683326362","397.8236838810482","226.1209524076547","703.416880331414"
"65000","539.6794688172716","271.65273016528204","771.6746058527717","487.2497811386972","128.01618235634","804.2975865186378","422.65640652164416","209.49805034318996","773.6376626350442"
"67500","583.7490451770651","271.40529790530957","751.1129123813237","333.31621104724144","140.06497325547065","606.6117461287794","317.9427291734951","269.6822038448488","364.21347962102016"
"70000","539.73923925286","335.88171128453666","769.2943900054748","462.2596803910581","143.18364433616972","776.2912793210897","299.17737478902546","236.34496855434546","332.49634025207973"
"72500","697.2254927837694","607.1175088036896","806.0265522561967","552.0246798769284","149.12308173575872","816.6480106046832","208.51409174994174","131.75301539041797","260.3169307453002"
"75000","464.9926053327135","278.547595518231","797.3416971800917","537.8589880715438","164.85148467374015","815.5182725962651","381.1230084013807","127.89196530396536","649.227828378482"
"77500","566.0830058827847","296.27036262295604","808.7697030005642","790.6574073435904","677.4035260980403","877.0167976078744","340.62544456155547","104.40869233997242","584.7305090642946"
"80000","614.7295850638325","532.9995592003839","676.0413622738611","761.6809590187195","651.1794008096554","853.9637418404096","427.63492119331363","87.95681483974595","712.2595036626462"
"82500","570.0603695230183","394.62722477846853","684.7598451283759","458.14886877460305","160.12657041049306","873.7277637490585","220.59363696695868","102.19377596590411","412.6945323884521"
"85000","692.6952595811887","644.9717302976969","774.9470274955796","764.0860641871986","620.5810669178065","873.254572233126","143.3934920350887","139.7419156099913","149.7154243203392"
"87500","579.185760846604","250.94442831071828","768.2184802030619","703.0798276274539","457.01575653867803","863.0893443681983","420.1438706473784","149.8248271319326","780.0886117142022"
"90000","368.8314829300384","153.47909721805985","556.5201190119069","727.2914771526521","531.6489453554768","872.1482092420359","441.99012329712633","124.20458859569229","678.2742417179219"
"92500","454.01378824699805","192.73021855426117","662.5460792642513","536.5685011690772","182.55014607412372","780.1539103218178","494.20940632769356","355.66152384557745","722.853773685493"
