Step,TDMPC_HumanoidEnv_3 - train/episode_reward,TDMPC_HumanoidEnv_3 - train/episode_reward__MIN,TDMPC_HumanoidEnv_3 - train/episode_reward__MAX,TDMPC_HumanoidEnv_4 - train/episode_reward,TDMPC_HumanoidEnv_4 - train/episode_reward__MIN,TDMPC_HumanoidEnv_4 - train/episode_reward__MAX,TDMPC_HumanoidEnv_2 - train/episode_reward,TDMPC_HumanoidEnv_2 - train/episode_reward__MIN,TDMPC_HumanoidEnv_2 - train/episode_reward__MAX,TDMPC_HumanoidEnv_1 - train/episode_reward,TDMPC_HumanoidEnv_1 - train/episode_reward__MIN,TDMPC_HumanoidEnv_1 - train/episode_reward__MAX,TDMPC_HumanoidEnv_0 - train/episode_reward,TDMPC_HumanoidEnv_0 - train/episode_reward__MIN,TDMPC_HumanoidEnv_0 - train/episode_reward__MAX
371,149.72821044921875,149.72821044921875,149.72821044921875,,,,,,,,,,,,
461,,,,,,,,,,,,,150.474806149032,150.474806149032,150.474806149032
538,,,,,,,,,,,,,149.27715746407958,149.27715746407958,149.27715746407958
602,,,,255.8192548728772,255.8192548728772,255.8192548728772,,,,,,,,,
614,,,,,,,182.95971043597166,182.95971043597166,182.95971043597166,,,,,,
627,,,,,,,79.30121580375364,79.30121580375364,79.30121580375364,,,,,,
653,,,,,,,191.4156398727075,191.4156398727075,191.4156398727075,,,,,,
666,,,,,,,,,,221.66893418091917,221.66893418091917,221.66893418091917,213.7817576672473,213.7817576672473,213.7817576672473
730,224.82686105749016,224.82686105749016,224.82686105749016,,,,,,,,,,,,
742,,,,,,,,,,155.1579446723425,155.1579446723425,155.1579446723425,,,
755,,,,,,,,,,221.87516720321037,221.87516720321037,221.87516720321037,,,
947,,,,239.38320699482054,239.38320699482054,239.38320699482054,,,,,,,,,
998,172.82509993584466,172.82509993584466,172.82509993584466,,,,,,,,,,,,
1075,,,,,,,,,,,,,219.41050178800165,219.41050178800165,219.41050178800165
1114,,,,,,,203.40515962160393,203.40515962160393,203.40515962160393,,,,,,
1165,,,,179.96248530188592,179.96248530188592,179.96248530188592,,,,,,,,,
1254,195.79431659740231,195.79431659740231,195.79431659740231,181.51363117259757,181.51363117259757,181.51363117259757,,,,,,,,,
1280,,,,,,,197.31717267319206,197.31717267319206,197.31717267319206,,,,,,
1293,,,,207.27865789937252,207.27865789937252,207.27865789937252,,,,,,,,,
1331,,,,,,,,,,,,,167.52587920953727,167.52587920953727,167.52587920953727
1421,,,,,,,,,,,,,200.8336779122802,200.8336779122802,200.8336779122802
1446,253.63985918338247,253.63985918338247,253.63985918338247,,,,,,,,,,156.93179033572622,156.93179033572622,156.93179033572622
1536,,,,,,,,,,218.6964371830004,218.6964371830004,218.6964371830004,,,
1600,,,,175.42321171582142,175.42321171582142,175.42321171582142,,,,220.49831547558705,220.49831547558705,220.49831547558705,,,
1638,143.73494718614248,143.73494718614248,143.73494718614248,,,,,,,,,,,,
1715,,,,,,,,,,,,,155.65820914572132,155.65820914572132,155.65820914572132
1766,167.28355850764393,167.28355850764393,167.28355850764393,,,,,,,,,,,,
1830,,,,112.13363931487903,112.13363931487903,112.13363931487903,,,,,,,,,
1843,175.2640088184032,175.2640088184032,175.2640088184032,,,,,,,,,,,,
1894,,,,,,,161.7540737564977,161.7540737564977,161.7540737564977,,,,,,
1946,,,,,,,,,,,,,211.4458751447875,211.4458751447875,211.4458751447875
1971,,,,134.98379164538196,134.98379164538196,134.98379164538196,,,,,,,,,
2061,238.54923500144517,238.54923500144517,238.54923500144517,,,,,,,,,,,,
2074,,,,198.32267091121938,198.32267091121938,198.32267091121938,,,,,,,,,
2150,,,,139.13852625458725,139.13852625458725,139.13852625458725,,,,,,,,,
2214,,,,,,,250.13489307256452,250.13489307256452,250.13489307256452,,,,,,
2304,,,,241.3199500760887,241.3199500760887,241.3199500760887,,,,,,,,,
2381,197.1331351313707,197.1331351313707,197.1331351313707,,,,,,,,,,,,
2470,,,,,,,238.87983764270734,238.87983764270734,238.87983764270734,,,,,,
2483,106.49102684837996,106.49102684837996,106.49102684837996,,,,,,,,,,,,
2534,153.5673192034666,153.5673192034666,153.5673192034666,,,,,,,,,,270.83749132260726,270.83749132260726,270.83749132260726
2560,,,,,,,,,,,,,154.4545551620689,154.4545551620689,154.4545551620689
2586,156.27723118414778,156.27723118414778,156.27723118414778,,,,,,,,,,,,
2611,143.556297587086,143.556297587086,143.556297587086,,,,,,,,,,,,
2650,,,,186.09340537186014,186.09340537186014,186.09340537186014,,,,,,,,,
2778,,,,194.49835678456404,194.49835678456404,194.49835678456404,,,,,,,,,
2790,,,,,,,,,,,,,189.06018380761944,189.06018380761944,189.06018380761944
2816,203.6539779937608,203.6539779937608,203.6539779937608,,,,,,,,,,138.30531466368265,138.30531466368265,138.30531466368265
2829,,,,182.02836605197248,182.02836605197248,182.02836605197248,,,,,,,,,
2893,,,,345.67471150764504,345.67471150764504,345.67471150764504,,,,,,,,,
2906,,,,137.29790938030985,137.29790938030985,137.29790938030985,,,,,,,,,
2918,,,,172.60586067094337,172.60586067094337,172.60586067094337,,,,,,,,,
3008,,,,,,,,,,,,,159.06536225454568,159.06536225454568,159.06536225454568
3226,,,,,,,173.4173809279917,173.4173809279917,173.4173809279917,,,,,,
3251,,,,119.33363910339088,119.33363910339088,119.33363910339088,,,,,,,,,
3277,421.25877789402443,421.25877789402443,421.25877789402443,,,,,,,,,,,,
3328,,,,,,,135.93081915047827,135.93081915047827,135.93081915047827,,,,,,
3456,199.57991118818214,199.57991118818214,199.57991118818214,,,,,,,,,,,,
3494,,,,200.81616142901098,200.81616142901098,200.81616142901098,,,,,,,,,
3546,226.92776262198828,226.92776262198828,226.92776262198828,,,,,,,,,,,,
3648,,,,,,,,,,,,,179.31869120754368,179.31869120754368,179.31869120754368
3661,,,,,,,180.3755591241538,180.3755591241538,180.3755591241538,,,,,,
3674,,,,,,,178.65903531713107,178.65903531713107,178.65903531713107,,,,,,
3853,189.03992361948337,189.03992361948337,189.03992361948337,,,,,,,,,,,,
3917,,,,163.79634597945284,163.79634597945284,163.79634597945284,,,,,,,,,
3942,248.5765415327817,248.5765415327817,248.5765415327817,,,,,,,,,,,,
4045,,,,149.03128237419648,149.03128237419648,149.03128237419648,,,,,,,,,
4083,,,,166.92056301053316,166.92056301053316,166.92056301053316,,,,,,,,,
4173,,,,,,,159.09435902772918,159.09435902772918,159.09435902772918,,,,,,
4198,55.74767012060883,55.74767012060883,55.74767012060883,128.91212171972992,128.91212171972992,128.91212171972992,,,,,,,,,
4250,207.00735023204314,207.00735023204314,207.00735023204314,,,,,,,172.21519019786348,172.21519019786348,172.21519019786348,,,
4262,,,,,,,,,,171.66860352462982,171.66860352462982,171.66860352462982,,,
4326,,,,229.43694299885712,229.43694299885712,229.43694299885712,,,,,,,,,
4352,161.28252246331877,161.28252246331877,161.28252246331877,,,,,,,,,,,,
4378,,,,132.23720226957732,132.23720226957732,132.23720226957732,,,,,,,,,
4442,,,,197.75786107974207,197.75786107974207,197.75786107974207,,,,,,,,,
4467,223.75885131080537,223.75885131080537,223.75885131080537,,,,,,,,,,,,
4480,,,,,,,209.38720665417324,209.38720665417324,209.38720665417324,,,,,,
4646,,,,,,,184.947889268049,184.947889268049,184.947889268049,,,,,,
4698,98.74754740682705,98.74754740682705,98.74754740682705,,,,,,,,,,,,
4787,,,,,,,174.94054661005825,174.94054661005825,174.94054661005825,,,,,,
4902,184.86078732940268,184.86078732940268,184.86078732940268,,,,,,,,,,,,
4915,168.09929587101283,168.09929587101283,168.09929587101283,,,,,,,,,,,,
4928,180.50974044777917,180.50974044777917,180.50974044777917,,,,,,,,,,,,
5018,,,,,,,,,,190.53308480481897,190.53308480481897,190.53308480481897,,,
5043,,,,,,,,,,,,,216.8189871452572,216.8189871452572,216.8189871452572
5069,,,,,,,,,,,,,187.6551519368673,187.6551519368673,187.6551519368673
5120,156.65666096675866,156.65666096675866,156.65666096675866,,,,,,,,,,,,
5133,230.31561018219688,230.31561018219688,230.31561018219688,,,,,,,,,,,,
5146,,,,227.39962348454918,227.39962348454918,227.39962348454918,,,,,,,,,
5171,304.5791110300655,304.5791110300655,304.5791110300655,,,,,,,,,,,,
5222,,,,146.8046496009725,146.8046496009725,146.8046496009725,,,,,,,,,
5312,138.50142535449666,138.50142535449666,138.50142535449666,,,,,,,,,,,,
5363,,,,146.49046795372396,146.49046795372396,146.49046795372396,,,,,,,,,
5376,,,,,,,,,,179.05815435177936,179.05815435177936,179.05815435177936,,,
5581,170.47500761995198,170.47500761995198,170.47500761995198,,,,,,,,,,,,
5619,,,,163.39582817328082,163.39582817328082,163.39582817328082,,,,227.95742790472613,227.95742790472613,227.95742790472613,,,
5658,,,,,,,154.98754716410969,154.98754716410969,154.98754716410969,,,,,,
5709,148.37586649673543,148.37586649673543,148.37586649673543,,,,,,,,,,,,
5734,,,,183.9318341447908,183.9318341447908,183.9318341447908,,,,,,,,,
5786,209.63634610436966,209.63634610436966,209.63634610436966,,,,,,,,,,,,
5798,130.32883413816728,130.32883413816728,130.32883413816728,,,,,,,,,,,,
5965,241.30634109286333,241.30634109286333,241.30634109286333,,,,,,,,,,,,
5978,,,,148.05838418037186,148.05838418037186,148.05838418037186,,,,,,,,,
6003,,,,158.9344201878023,158.9344201878023,158.9344201878023,,,,,,,,,
6054,223.31491176163894,223.31491176163894,223.31491176163894,,,,,,,,,,,,
6067,,,,131.4808495024678,131.4808495024678,131.4808495024678,,,,,,,,,
6144,,,,228.8291755489607,228.8291755489607,228.8291755489607,,,,212.31133802454667,212.31133802454667,212.31133802454667,,,
6157,,,,295.65613929076613,295.65613929076613,295.65613929076613,,,,,,,,,
6195,,,,,,,,,,,,,167.92783569858716,167.92783569858716,167.92783569858716
6208,128.84549005318556,128.84549005318556,128.84549005318556,,,,,,,,,,,,
6221,,,,133.54196826032302,133.54196826032302,133.54196826032302,,,,,,,,,
6234,99.39975475603467,99.39975475603467,99.39975475603467,,,,,,,209.43483471208935,209.43483471208935,209.43483471208935,,,
6259,197.95216710623853,197.95216710623853,197.95216710623853,,,,,,,,,,,,
6272,,,,168.57843199550487,168.57843199550487,168.57843199550487,,,,,,,,,
6362,,,,,,,162.3432619482478,162.3432619482478,162.3432619482478,,,,,,
6400,,,,,,,,,,211.00095994298292,211.00095994298292,211.00095994298292,,,
6438,,,,205.57687082834298,205.57687082834298,205.57687082834298,,,,,,,,,
6451,,,,189.59412692854684,189.59412692854684,189.59412692854684,,,,,,,,,
6464,432.0028472621492,432.0028472621492,432.0028472621492,,,,,,,,,,,,
6502,,,,154.2186202080561,154.2186202080561,154.2186202080561,239.78557577446236,239.78557577446236,239.78557577446236,,,,,,
6592,,,,207.3910429342365,207.3910429342365,207.3910429342365,,,,,,,,,
6605,,,,,,,186.1740613635419,186.1740613635419,186.1740613635419,,,,,,
6630,,,,,,,243.52105989538643,243.52105989538643,243.52105989538643,,,,,,
6682,,,,,,,,,,,,,145.55157588328558,145.55157588328558,145.55157588328558
