"Step","PWM_HumanoidEnv_sweep_2 - rewards","PWM_HumanoidEnv_sweep_2 - rewards__MIN","PWM_HumanoidEnv_sweep_2 - rewards__MAX","PWM_HumanoidEnv_sweep_1 - rewards","PWM_HumanoidEnv_sweep_1 - rewards__MIN","PWM_HumanoidEnv_sweep_1 - rewards__MAX","PWM_HumanoidEnv_sweep_0 - rewards","PWM_HumanoidEnv_sweep_0 - rewards__MIN","PWM_HumanoidEnv_sweep_0 - rewards__MAX"
"204800","107.48211669921875","107.48211669921875","107.48211669921875","77.6053466796875","77.6053466796875","77.6053466796875","82.0291519165039","82.0291519165039","82.0291519165039"
"256000","81.29737854003906","81.29737854003906","81.29737854003906","85.62049865722656","85.62049865722656","85.62049865722656","90.53366088867188","90.53366088867188","90.53366088867188"
"307200","102.9124755859375","102.9124755859375","102.9124755859375","103.72542572021484","103.72542572021484","103.72542572021484","98.19637298583984","98.19637298583984","98.19637298583984"
"358400","91.9302749633789","91.9302749633789","91.9302749633789","93.81290435791016","93.81290435791016","93.81290435791016","91.69721221923828","91.69721221923828","91.69721221923828"
"409600","111.85964965820312","111.85964965820312","111.85964965820312","70.08877563476562","70.08877563476562","70.08877563476562","84.71678161621094","84.71678161621094","84.71678161621094"
"460800","93.01280975341797","93.01280975341797","93.01280975341797","104.569091796875","104.569091796875","104.569091796875","112.81812286376953","112.81812286376953","112.81812286376953"
"512000","104.19595336914062","104.19595336914062","104.19595336914062","107.57701110839844","107.57701110839844","107.57701110839844","118.44223022460938","118.44223022460938","118.44223022460938"
"563200","111.09375","111.09375","111.09375","90.32887268066406","90.32887268066406","90.32887268066406","100.86882781982422","100.86882781982422","100.86882781982422"
"614400","69.14134979248047","69.14134979248047","69.14134979248047","115.72827911376953","115.72827911376953","115.72827911376953","94.10855102539062","94.10855102539062","94.10855102539062"
"665600","72.22405242919922","72.22405242919922","72.22405242919922","97.54401397705078","97.54401397705078","97.54401397705078","83.86495971679688","83.86495971679688","83.86495971679688"
"716800","84.1129379272461","84.1129379272461","84.1129379272461","88.83479309082031","88.83479309082031","88.83479309082031","101.63634490966797","101.63634490966797","101.63634490966797"
"768000","73.86717987060547","73.86717987060547","73.86717987060547","79.15863800048828","79.15863800048828","79.15863800048828","80.07643127441406","80.07643127441406","80.07643127441406"
"819200","102.55010223388672","102.55010223388672","102.55010223388672","108.67127990722656","108.67127990722656","108.67127990722656","88.08296966552734","88.08296966552734","88.08296966552734"
"870400","69.42591857910156","69.42591857910156","69.42591857910156","80.08174133300781","80.08174133300781","80.08174133300781","78.18769073486328","78.18769073486328","78.18769073486328"
"921600","90.85320281982422","90.85320281982422","90.85320281982422","93.03690338134766","93.03690338134766","93.03690338134766","95.91156005859375","95.91156005859375","95.91156005859375"
"972800","75.7893295288086","75.7893295288086","75.7893295288086","102.43436431884766","102.43436431884766","102.43436431884766","85.5101547241211","85.5101547241211","85.5101547241211"
"1024000","106.01421356201172","106.01421356201172","106.01421356201172","90.18584442138672","90.18584442138672","90.18584442138672","74.04398345947266","74.04398345947266","74.04398345947266"
"1075200","110.8529052734375","110.8529052734375","110.8529052734375","79.90776824951172","79.90776824951172","79.90776824951172","99.03346252441406","99.03346252441406","99.03346252441406"
"1126400","96.19361114501953","96.19361114501953","96.19361114501953","56.642738342285156","56.642738342285156","56.642738342285156","92.45938110351562","92.45938110351562","92.45938110351562"
"1177600","60.51805114746094","60.51805114746094","60.51805114746094","129.2454071044922","129.2454071044922","129.2454071044922","72.5340576171875","72.5340576171875","72.5340576171875"
"1228800","111.36446380615234","111.36446380615234","111.36446380615234","87.73135375976562","87.73135375976562","87.73135375976562","97.70281982421875","97.70281982421875","97.70281982421875"
"1280000","69.34258270263672","69.34258270263672","69.34258270263672","83.87810516357422","83.87810516357422","83.87810516357422","100.5675277709961","100.5675277709961","100.5675277709961"
"1331200","110.32196807861328","110.32196807861328","110.32196807861328","102.70149230957031","102.70149230957031","102.70149230957031","119.15650177001953","119.15650177001953","119.15650177001953"
"1382400","99.08109283447266","99.08109283447266","99.08109283447266","106.35836791992188","106.35836791992188","106.35836791992188","105.04774475097656","105.04774475097656","105.04774475097656"
"1433600","117.95616912841797","117.95616912841797","117.95616912841797","75.74333190917969","75.74333190917969","75.74333190917969","102.25320434570312","102.25320434570312","102.25320434570312"
"1484800","87.6241455078125","87.6241455078125","87.6241455078125","70.1803207397461","70.1803207397461","70.1803207397461","110.32603454589844","110.32603454589844","110.32603454589844"
"1536000","126.46121978759766","126.46121978759766","126.46121978759766","93.475341796875","93.475341796875","93.475341796875","84.85757446289062","84.85757446289062","84.85757446289062"
"1587200","73.8791732788086","73.8791732788086","73.8791732788086","116.01007843017578","116.01007843017578","116.01007843017578","64.33080291748047","64.33080291748047","64.33080291748047"
"1638400","108.94891357421875","108.94891357421875","108.94891357421875","112.19741821289062","112.19741821289062","112.19741821289062","118.82499694824219","118.82499694824219","118.82499694824219"
"1689600","65.18930053710938","65.18930053710938","65.18930053710938","78.8299560546875","78.8299560546875","78.8299560546875","103.49781799316406","103.49781799316406","103.49781799316406"
"1740800","69.96218872070312","69.96218872070312","69.96218872070312","79.51954650878906","79.51954650878906","79.51954650878906","63.47191619873047","63.47191619873047","63.47191619873047"
"1792000","62.47801208496094","62.47801208496094","62.47801208496094","74.8703384399414","74.8703384399414","74.8703384399414","121.39205169677734","121.39205169677734","121.39205169677734"
"1843200","63.55800247192383","63.55800247192383","63.55800247192383","72.96654510498047","72.96654510498047","72.96654510498047","118.92310333251953","118.92310333251953","118.92310333251953"
"1894400","81.64282989501953","81.64282989501953","81.64282989501953","89.74286651611328","89.74286651611328","89.74286651611328","114.40682220458984","114.40682220458984","114.40682220458984"
"1945600","112.63150024414062","112.63150024414062","112.63150024414062","111.65266418457031","111.65266418457031","111.65266418457031","95.35306549072266","95.35306549072266","95.35306549072266"
"1996800","105.8734130859375","105.8734130859375","105.8734130859375","87.46404266357422","87.46404266357422","87.46404266357422","89.16532135009766","89.16532135009766","89.16532135009766"
