global_step,scarlet-sweep-12 - _step,scarlet-sweep-12 - _step__MIN,scarlet-sweep-12 - _step__MAX,scarlet-sweep-12 - rewards/step,scarlet-sweep-12 - rewards/step__MIN,scarlet-sweep-12 - rewards/step__MAX,rose-sweep-11 - _step,rose-sweep-11 - _step__MIN,rose-sweep-11 - _step__MAX,rose-sweep-11 - rewards/step,rose-sweep-11 - rewards/step__MIN,rose-sweep-11 - rewards/step__MAX,silver-sweep-10 - _step,silver-sweep-10 - _step__MIN,silver-sweep-10 - _step__MAX,silver-sweep-10 - rewards/step,silver-sweep-10 - rewards/step__MIN,silver-sweep-10 - rewards/step__MAX,polished-sweep-12 - _step,polished-sweep-12 - _step__MIN,polished-sweep-12 - _step__MAX,polished-sweep-12 - rewards/step,polished-sweep-12 - rewards/step__MIN,polished-sweep-12 - rewards/step__MAX,visionary-sweep-11 - _step,visionary-sweep-11 - _step__MIN,visionary-sweep-11 - _step__MAX,visionary-sweep-11 - rewards/step,visionary-sweep-11 - rewards/step__MIN,visionary-sweep-11 - rewards/step__MAX
307200.0,29.0,29.0,29.0,98.30691528320312,98.30691528320312,98.30691528320312,29,29,29,71.7120590209961,71.7120590209961,71.7120590209961,29,29,29,83.53390502929688,83.53390502929688,83.53390502929688,29.0,29.0,29.0,89.58940124511719,89.58940124511719,89.58940124511719,29,29,29,74.09221649169922,74.09221649169922,74.09221649169922
327680.0,31.0,31.0,31.0,102.47563934326172,102.47563934326172,102.47563934326172,31,31,31,74.0711441040039,74.0711441040039,74.0711441040039,31,31,31,82.67355346679688,82.67355346679688,82.67355346679688,31.0,31.0,31.0,114.87063598632812,114.87063598632812,114.87063598632812,31,31,31,66.80108642578125,66.80108642578125,66.80108642578125
348160.0,33.0,33.0,33.0,105.238525390625,105.238525390625,105.238525390625,33,33,33,74.48506927490234,74.48506927490234,74.48506927490234,33,33,33,65.90725708007812,65.90725708007812,65.90725708007812,33.0,33.0,33.0,146.02639770507812,146.02639770507812,146.02639770507812,33,33,33,70.5685043334961,70.5685043334961,70.5685043334961
368640.0,35.0,35.0,35.0,110.6153564453125,110.6153564453125,110.6153564453125,35,35,35,82.42062377929688,82.42062377929688,82.42062377929688,35,35,35,54.7325668334961,54.7325668334961,54.7325668334961,35.0,35.0,35.0,161.40411376953125,161.40411376953125,161.40411376953125,35,35,35,63.90687942504883,63.90687942504883,63.90687942504883
389120.0,37.0,37.0,37.0,113.51838684082033,113.51838684082033,113.51838684082033,37,37,37,84.55794525146484,84.55794525146484,84.55794525146484,37,37,37,54.77420425415039,54.77420425415039,54.77420425415039,37.0,37.0,37.0,166.6435546875,166.6435546875,166.6435546875,37,37,37,68.1094741821289,68.1094741821289,68.1094741821289
409600.0,39.0,39.0,39.0,108.49536895751952,108.49536895751952,108.49536895751952,39,39,39,77.73368835449219,77.73368835449219,77.73368835449219,39,39,39,54.45664978027344,54.45664978027344,54.45664978027344,39.0,39.0,39.0,160.40972900390625,160.40972900390625,160.40972900390625,39,39,39,71.69429779052734,71.69429779052734,71.69429779052734
430080.0,41.0,41.0,41.0,105.05194854736328,105.05194854736328,105.05194854736328,41,41,41,86.53175354003906,86.53175354003906,86.53175354003906,41,41,41,60.26676940917969,60.26676940917969,60.26676940917969,41.0,41.0,41.0,157.8988494873047,157.8988494873047,157.8988494873047,41,41,41,75.79173278808594,75.79173278808594,75.79173278808594
450560.0,43.0,43.0,43.0,97.3884735107422,97.3884735107422,97.3884735107422,43,43,43,90.34894561767578,90.34894561767578,90.34894561767578,43,43,43,64.2245864868164,64.2245864868164,64.2245864868164,43.0,43.0,43.0,149.52357482910156,149.52357482910156,149.52357482910156,43,43,43,77.90972900390625,77.90972900390625,77.90972900390625
471040.0,45.0,45.0,45.0,82.8058853149414,82.8058853149414,82.8058853149414,45,45,45,96.9614028930664,96.9614028930664,96.9614028930664,45,45,45,77.76290130615234,77.76290130615234,77.76290130615234,45.0,45.0,45.0,145.95413208007812,145.95413208007812,145.95413208007812,45,45,45,82.6489028930664,82.6489028930664,82.6489028930664
491520.0,47.0,47.0,47.0,81.423095703125,81.423095703125,81.423095703125,47,47,47,103.51596069335938,103.51596069335938,103.51596069335938,47,47,47,89.63983154296875,89.63983154296875,89.63983154296875,47.0,47.0,47.0,152.55686950683594,152.55686950683594,152.55686950683594,47,47,47,88.30162048339844,88.30162048339844,88.30162048339844
512000.0,49.0,49.0,49.0,84.41020965576172,84.41020965576172,84.41020965576172,49,49,49,111.84529113769533,111.84529113769533,111.84529113769533,49,49,49,112.48008728027344,112.48008728027344,112.48008728027344,49.0,49.0,49.0,161.45838928222656,161.45838928222656,161.45838928222656,49,49,49,88.91985321044922,88.91985321044922,88.91985321044922
532480.0,51.0,51.0,51.0,86.55015563964844,86.55015563964844,86.55015563964844,51,51,51,116.65935516357422,116.65935516357422,116.65935516357422,51,51,51,129.73797607421875,129.73797607421875,129.73797607421875,51.0,51.0,51.0,169.9713592529297,169.9713592529297,169.9713592529297,51,51,51,95.76722717285156,95.76722717285156,95.76722717285156
552960.0,53.0,53.0,53.0,103.5830535888672,103.5830535888672,103.5830535888672,53,53,53,116.43638610839844,116.43638610839844,116.43638610839844,53,53,53,130.41049194335938,130.41049194335938,130.41049194335938,53.0,53.0,53.0,187.67501831054688,187.67501831054688,187.67501831054688,53,53,53,106.15894317626952,106.15894317626952,106.15894317626952
573440.0,55.0,55.0,55.0,114.09707641601562,114.09707641601562,114.09707641601562,55,55,55,122.60052490234375,122.60052490234375,122.60052490234375,55,55,55,126.48101043701172,126.48101043701172,126.48101043701172,55.0,55.0,55.0,204.1360626220703,204.1360626220703,204.1360626220703,55,55,55,117.8644790649414,117.8644790649414,117.8644790649414
593920.0,57.0,57.0,57.0,120.82793426513672,120.82793426513672,120.82793426513672,57,57,57,127.95185089111328,127.95185089111328,127.95185089111328,57,57,57,119.72053527832033,119.72053527832033,119.72053527832033,57.0,57.0,57.0,203.0664825439453,203.0664825439453,203.0664825439453,57,57,57,126.02513122558594,126.02513122558594,126.02513122558594
614400.0,59.0,59.0,59.0,126.04308319091795,126.04308319091795,126.04308319091795,59,59,59,129.60047912597656,129.60047912597656,129.60047912597656,59,59,59,117.24714660644533,117.24714660644533,117.24714660644533,59.0,59.0,59.0,212.35671997070312,212.35671997070312,212.35671997070312,59,59,59,132.97569274902344,132.97569274902344,132.97569274902344
634880.0,61.0,61.0,61.0,132.22116088867188,132.22116088867188,132.22116088867188,61,61,61,129.53050231933594,129.53050231933594,129.53050231933594,61,61,61,108.6628875732422,108.6628875732422,108.6628875732422,61.0,61.0,61.0,207.77423095703125,207.77423095703125,207.77423095703125,61,61,61,137.6746368408203,137.6746368408203,137.6746368408203
655360.0,63.0,63.0,63.0,144.41921997070312,144.41921997070312,144.41921997070312,63,63,63,140.05584716796875,140.05584716796875,140.05584716796875,63,63,63,108.81053161621094,108.81053161621094,108.81053161621094,63.0,63.0,63.0,209.15341186523435,209.15341186523435,209.15341186523435,63,63,63,139.70375061035156,139.70375061035156,139.70375061035156
675840.0,65.0,65.0,65.0,152.27395629882812,152.27395629882812,152.27395629882812,65,65,65,149.7228546142578,149.7228546142578,149.7228546142578,65,65,65,107.49991607666016,107.49991607666016,107.49991607666016,65.0,65.0,65.0,203.7865753173828,203.7865753173828,203.7865753173828,65,65,65,139.39096069335938,139.39096069335938,139.39096069335938
696320.0,67.0,67.0,67.0,166.4330596923828,166.4330596923828,166.4330596923828,67,67,67,157.19287109375,157.19287109375,157.19287109375,67,67,67,110.97482299804688,110.97482299804688,110.97482299804688,67.0,67.0,67.0,209.91290283203125,209.91290283203125,209.91290283203125,67,67,67,140.441162109375,140.441162109375,140.441162109375
716800.0,69.0,69.0,69.0,171.41078186035156,171.41078186035156,171.41078186035156,69,69,69,175.62168884277344,175.62168884277344,175.62168884277344,69,69,69,117.29377746582033,117.29377746582033,117.29377746582033,69.0,69.0,69.0,215.33599853515625,215.33599853515625,215.33599853515625,69,69,69,140.808349609375,140.808349609375,140.808349609375
737280.0,71.0,71.0,71.0,176.3353271484375,176.3353271484375,176.3353271484375,71,71,71,185.47213745117188,185.47213745117188,185.47213745117188,71,71,71,112.71554565429688,112.71554565429688,112.71554565429688,71.0,71.0,71.0,239.25726318359375,239.25726318359375,239.25726318359375,71,71,71,141.95245361328125,141.95245361328125,141.95245361328125
757760.0,73.0,73.0,73.0,186.51181030273435,186.51181030273435,186.51181030273435,73,73,73,173.8536834716797,173.8536834716797,173.8536834716797,73,73,73,84.07194519042969,84.07194519042969,84.07194519042969,73.0,73.0,73.0,246.44178771972656,246.44178771972656,246.44178771972656,73,73,73,141.54942321777344,141.54942321777344,141.54942321777344
778240.0,75.0,75.0,75.0,189.06494140625,189.06494140625,189.06494140625,75,75,75,152.1643829345703,152.1643829345703,152.1643829345703,75,75,75,76.86377716064453,76.86377716064453,76.86377716064453,75.0,75.0,75.0,246.37957763671875,246.37957763671875,246.37957763671875,75,75,75,143.24838256835938,143.24838256835938,143.24838256835938
798720.0,77.0,77.0,77.0,192.1007537841797,192.1007537841797,192.1007537841797,77,77,77,130.122314453125,130.122314453125,130.122314453125,77,77,77,80.64754486083984,80.64754486083984,80.64754486083984,77.0,77.0,77.0,265.9590759277344,265.9590759277344,265.9590759277344,77,77,77,143.24838256835938,143.24838256835938,143.24838256835938
819200.0,79.0,79.0,79.0,198.13575744628906,198.13575744628906,198.13575744628906,79,79,79,116.60990142822266,116.60990142822266,116.60990142822266,79,79,79,97.90680694580078,97.90680694580078,97.90680694580078,79.0,79.0,79.0,278.1511535644531,278.1511535644531,278.1511535644531,79,79,79,155.87051391601562,155.87051391601562,155.87051391601562
839680.0,81.0,81.0,81.0,201.35220336914065,201.35220336914065,201.35220336914065,81,81,81,91.38997650146484,91.38997650146484,91.38997650146484,81,81,81,123.88439178466795,123.88439178466795,123.88439178466795,81.0,81.0,81.0,286.0964660644531,286.0964660644531,286.0964660644531,81,81,81,188.8980255126953,188.8980255126953,188.8980255126953
860160.0,83.0,83.0,83.0,211.74256896972656,211.74256896972656,211.74256896972656,83,83,83,80.67582702636719,80.67582702636719,80.67582702636719,83,83,83,158.40771484375,158.40771484375,158.40771484375,83.0,83.0,83.0,287.62322998046875,287.62322998046875,287.62322998046875,83,83,83,252.2234649658203,252.2234649658203,252.2234649658203
880640.0,85.0,85.0,85.0,229.8764190673828,229.8764190673828,229.8764190673828,85,85,85,81.18251037597656,81.18251037597656,81.18251037597656,85,85,85,180.36138916015625,180.36138916015625,180.36138916015625,85.0,85.0,85.0,294.8321838378906,294.8321838378906,294.8321838378906,85,85,85,301.3599853515625,301.3599853515625,301.3599853515625
901120.0,87.0,87.0,87.0,235.9060821533203,235.9060821533203,235.9060821533203,87,87,87,83.23065948486328,83.23065948486328,83.23065948486328,87,87,87,197.3856201171875,197.3856201171875,197.3856201171875,87.0,87.0,87.0,298.79132080078125,298.79132080078125,298.79132080078125,87,87,87,310.8384094238281,310.8384094238281,310.8384094238281
921600.0,89.0,89.0,89.0,268.5563659667969,268.5563659667969,268.5563659667969,89,89,89,84.43170928955078,84.43170928955078,84.43170928955078,89,89,89,195.9271240234375,195.9271240234375,195.9271240234375,89.0,89.0,89.0,316.1754150390625,316.1754150390625,316.1754150390625,89,89,89,310.8384094238281,310.8384094238281,310.8384094238281
942080.0,91.0,91.0,91.0,276.3627624511719,276.3627624511719,276.3627624511719,91,91,91,91.26660919189452,91.26660919189452,91.26660919189452,91,91,91,195.52940368652344,195.52940368652344,195.52940368652344,91.0,91.0,91.0,335.64276123046875,335.64276123046875,335.64276123046875,91,91,91,310.8384094238281,310.8384094238281,310.8384094238281
962560.0,93.0,93.0,93.0,277.7998352050781,277.7998352050781,277.7998352050781,93,93,93,100.7122802734375,100.7122802734375,100.7122802734375,93,93,93,200.6566925048828,200.6566925048828,200.6566925048828,93.0,93.0,93.0,373.1238708496094,373.1238708496094,373.1238708496094,93,93,93,310.8384094238281,310.8384094238281,310.8384094238281
983040.0,95.0,95.0,95.0,285.10308837890625,285.10308837890625,285.10308837890625,95,95,95,113.11168670654295,113.11168670654295,113.11168670654295,95,95,95,201.14134216308594,201.14134216308594,201.14134216308594,95.0,95.0,95.0,390.0030517578125,390.0030517578125,390.0030517578125,95,95,95,310.8384094238281,310.8384094238281,310.8384094238281
1003520.0,97.0,97.0,97.0,297.1723937988281,297.1723937988281,297.1723937988281,97,97,97,127.61865234375,127.61865234375,127.61865234375,97,97,97,198.5380859375,198.5380859375,198.5380859375,97.0,97.0,97.0,411.9206848144531,411.9206848144531,411.9206848144531,97,97,97,310.8384094238281,310.8384094238281,310.8384094238281
1024000.0,99.0,99.0,99.0,346.55126953125,346.55126953125,346.55126953125,99,99,99,144.87899780273438,144.87899780273438,144.87899780273438,99,99,99,198.93856811523435,198.93856811523435,198.93856811523435,99.0,99.0,99.0,414.3336181640625,414.3336181640625,414.3336181640625,99,99,99,328.94696044921875,328.94696044921875,328.94696044921875
1044480.0,101.0,101.0,101.0,486.0801696777344,486.0801696777344,486.0801696777344,101,101,101,153.9628448486328,153.9628448486328,153.9628448486328,101,101,101,199.44813537597656,199.44813537597656,199.44813537597656,101.0,101.0,101.0,448.85797119140625,448.85797119140625,448.85797119140625,101,101,101,336.7112121582031,336.7112121582031,336.7112121582031
1064960.0,103.0,103.0,103.0,589.7770385742188,589.7770385742188,589.7770385742188,103,103,103,163.9462890625,163.9462890625,163.9462890625,103,103,103,211.94293212890625,211.94293212890625,211.94293212890625,103.0,103.0,103.0,451.9767456054688,451.9767456054688,451.9767456054688,103,103,103,346.072265625,346.072265625,346.072265625
1085440.0,105.0,105.0,105.0,640.5692749023438,640.5692749023438,640.5692749023438,105,105,105,173.9297637939453,173.9297637939453,173.9297637939453,105,105,105,210.54556274414065,210.54556274414065,210.54556274414065,105.0,105.0,105.0,478.7597961425781,478.7597961425781,478.7597961425781,105,105,105,355.2374572753906,355.2374572753906,355.2374572753906
1105920.0,107.0,107.0,107.0,669.212158203125,669.212158203125,669.212158203125,107,107,107,180.5259552001953,180.5259552001953,180.5259552001953,107,107,107,211.66079711914065,211.66079711914065,211.66079711914065,107.0,107.0,107.0,480.3442077636719,480.3442077636719,480.3442077636719,107,107,107,378.8682861328125,378.8682861328125,378.8682861328125
1126400.0,109.0,109.0,109.0,705.8081665039062,705.8081665039062,705.8081665039062,109,109,109,182.68118286132812,182.68118286132812,182.68118286132812,109,109,109,211.55914306640625,211.55914306640625,211.55914306640625,109.0,109.0,109.0,510.1863708496094,510.1863708496094,510.1863708496094,109,109,109,401.91400146484375,401.91400146484375,401.91400146484375
1146880.0,111.0,111.0,111.0,728.4907836914062,728.4907836914062,728.4907836914062,111,111,111,189.27647399902344,189.27647399902344,189.27647399902344,111,111,111,214.04598999023435,214.04598999023435,214.04598999023435,111.0,111.0,111.0,512.496337890625,512.496337890625,512.496337890625,111,111,111,431.05023193359375,431.05023193359375,431.05023193359375
1167360.0,113.0,113.0,113.0,768.8702392578125,768.8702392578125,768.8702392578125,113,113,113,191.37342834472656,191.37342834472656,191.37342834472656,113,113,113,210.2919464111328,210.2919464111328,210.2919464111328,113.0,113.0,113.0,538.7008666992188,538.7008666992188,538.7008666992188,113,113,113,515.1407470703125,515.1407470703125,515.1407470703125
1187840.0,115.0,115.0,115.0,824.0801391601562,824.0801391601562,824.0801391601562,115,115,115,196.71542358398435,196.71542358398435,196.71542358398435,115,115,115,213.6257781982422,213.6257781982422,213.6257781982422,115.0,115.0,115.0,561.9264526367188,561.9264526367188,561.9264526367188,115,115,115,582.953369140625,582.953369140625,582.953369140625
1208320.0,117.0,117.0,117.0,863.378173828125,863.378173828125,863.378173828125,117,117,117,209.31214904785156,209.31214904785156,209.31214904785156,117,117,117,218.0467529296875,218.0467529296875,218.0467529296875,117.0,117.0,117.0,602.0166015625,602.0166015625,602.0166015625,117,117,117,631.6339111328125,631.6339111328125,631.6339111328125
1228800.0,119.0,119.0,119.0,877.7115478515625,877.7115478515625,877.7115478515625,119,119,119,261.7400207519531,261.7400207519531,261.7400207519531,119,119,119,214.62704467773435,214.62704467773435,214.62704467773435,119.0,119.0,119.0,634.7595825195312,634.7595825195312,634.7595825195312,119,119,119,675.4613037109375,675.4613037109375,675.4613037109375
1249280.0,121.0,121.0,121.0,882.6920166015625,882.6920166015625,882.6920166015625,121,121,121,295.7994384765625,295.7994384765625,295.7994384765625,121,121,121,231.5177459716797,231.5177459716797,231.5177459716797,121.0,121.0,121.0,645.841552734375,645.841552734375,645.841552734375,121,121,121,700.4931640625,700.4931640625,700.4931640625
1269760.0,123.0,123.0,123.0,889.5120239257812,889.5120239257812,889.5120239257812,123,123,123,298.0627746582031,298.0627746582031,298.0627746582031,123,123,123,246.5384063720703,246.5384063720703,246.5384063720703,123.0,123.0,123.0,652.2216186523438,652.2216186523438,652.2216186523438,123,123,123,714.1260986328125,714.1260986328125,714.1260986328125
1290240.0,125.0,125.0,125.0,930.4559326171875,930.4559326171875,930.4559326171875,125,125,125,296.6966247558594,296.6966247558594,296.6966247558594,125,125,125,265.63555908203125,265.63555908203125,265.63555908203125,125.0,125.0,125.0,662.7101440429688,662.7101440429688,662.7101440429688,125,125,125,711.6758422851562,711.6758422851562,711.6758422851562
1310720.0,127.0,127.0,127.0,950.588623046875,950.588623046875,950.588623046875,127,127,127,297.42486572265625,297.42486572265625,297.42486572265625,127,127,127,311.5840148925781,311.5840148925781,311.5840148925781,127.0,127.0,127.0,665.5719604492188,665.5719604492188,665.5719604492188,127,127,127,710.0571899414062,710.0571899414062,710.0571899414062
1331200.0,129.0,129.0,129.0,941.9298706054688,941.9298706054688,941.9298706054688,129,129,129,298.4697265625,298.4697265625,298.4697265625,129,129,129,313.0013732910156,313.0013732910156,313.0013732910156,129.0,129.0,129.0,661.9389038085938,661.9389038085938,661.9389038085938,129,129,129,711.6490478515625,711.6490478515625,711.6490478515625
1351680.0,131.0,131.0,131.0,962.8448486328125,962.8448486328125,962.8448486328125,131,131,131,306.439697265625,306.439697265625,306.439697265625,131,131,131,251.56048583984375,251.56048583984375,251.56048583984375,131.0,131.0,131.0,664.8480834960938,664.8480834960938,664.8480834960938,131,131,131,705.3502807617188,705.3502807617188,705.3502807617188
1372160.0,133.0,133.0,133.0,954.114501953125,954.114501953125,954.114501953125,133,133,133,360.8775634765625,360.8775634765625,360.8775634765625,133,133,133,236.6012420654297,236.6012420654297,236.6012420654297,133.0,133.0,133.0,674.3972778320312,674.3972778320312,674.3972778320312,133,133,133,707.9887084960938,707.9887084960938,707.9887084960938
1392640.0,135.0,135.0,135.0,960.2528686523438,960.2528686523438,960.2528686523438,135,135,135,407.0877380371094,407.0877380371094,407.0877380371094,135,135,135,218.84326171875,218.84326171875,218.84326171875,135.0,135.0,135.0,669.9891357421875,669.9891357421875,669.9891357421875,135,135,135,707.9887084960938,707.9887084960938,707.9887084960938
1413120.0,137.0,137.0,137.0,927.5550537109375,927.5550537109375,927.5550537109375,137,137,137,433.58642578125,433.58642578125,433.58642578125,137,137,137,222.1879425048828,222.1879425048828,222.1879425048828,137.0,137.0,137.0,687.3220825195312,687.3220825195312,687.3220825195312,137,137,137,710.8724975585938,710.8724975585938,710.8724975585938
1433600.0,139.0,139.0,139.0,926.8046875,926.8046875,926.8046875,139,139,139,475.4990844726562,475.4990844726562,475.4990844726562,139,139,139,222.27891540527344,222.27891540527344,222.27891540527344,139.0,139.0,139.0,709.5731201171875,709.5731201171875,709.5731201171875,139,139,139,708.8001708984375,708.8001708984375,708.8001708984375
1454080.0,141.0,141.0,141.0,923.4139404296875,923.4139404296875,923.4139404296875,141,141,141,479.7659301757812,479.7659301757812,479.7659301757812,141,141,141,215.4512481689453,215.4512481689453,215.4512481689453,141.0,141.0,141.0,712.0743408203125,712.0743408203125,712.0743408203125,141,141,141,708.5020751953125,708.5020751953125,708.5020751953125
1474560.0,143.0,143.0,143.0,931.2643432617188,931.2643432617188,931.2643432617188,143,143,143,480.8858947753906,480.8858947753906,480.8858947753906,143,143,143,210.64840698242188,210.64840698242188,210.64840698242188,143.0,143.0,143.0,705.51171875,705.51171875,705.51171875,143,143,143,736.1217041015625,736.1217041015625,736.1217041015625
1495040.0,145.0,145.0,145.0,947.533203125,947.533203125,947.533203125,145,145,145,533.8985595703125,533.8985595703125,533.8985595703125,145,145,145,196.18495178222656,196.18495178222656,196.18495178222656,145.0,145.0,145.0,681.7183227539062,681.7183227539062,681.7183227539062,145,145,145,807.6117553710938,807.6117553710938,807.6117553710938
1515520.0,147.0,147.0,147.0,970.338623046875,970.338623046875,970.338623046875,147,147,147,539.6178588867188,539.6178588867188,539.6178588867188,147,147,147,195.8621826171875,195.8621826171875,195.8621826171875,147.0,147.0,147.0,682.5225830078125,682.5225830078125,682.5225830078125,147,147,147,870.468505859375,870.468505859375,870.468505859375
1536000.0,149.0,149.0,149.0,975.635498046875,975.635498046875,975.635498046875,149,149,149,528.7405395507812,528.7405395507812,528.7405395507812,149,149,149,196.6546173095703,196.6546173095703,196.6546173095703,149.0,149.0,149.0,685.9207153320312,685.9207153320312,685.9207153320312,149,149,149,891.58984375,891.58984375,891.58984375
1556480.0,151.0,151.0,151.0,988.6404418945312,988.6404418945312,988.6404418945312,151,151,151,532.7028198242188,532.7028198242188,532.7028198242188,151,151,151,203.27134704589844,203.27134704589844,203.27134704589844,151.0,151.0,151.0,703.7465209960938,703.7465209960938,703.7465209960938,151,151,151,884.0349731445312,884.0349731445312,884.0349731445312
1576960.0,153.0,153.0,153.0,1000.2123413085938,1000.2123413085938,1000.2123413085938,153,153,153,521.9041137695312,521.9041137695312,521.9041137695312,153,153,153,202.14027404785156,202.14027404785156,202.14027404785156,153.0,153.0,153.0,720.9359741210938,720.9359741210938,720.9359741210938,153,153,153,883.8102416992188,883.8102416992188,883.8102416992188
1597440.0,155.0,155.0,155.0,1005.6624755859375,1005.6624755859375,1005.6624755859375,155,155,155,511.6942138671875,511.6942138671875,511.6942138671875,155,155,155,195.07589721679688,195.07589721679688,195.07589721679688,155.0,155.0,155.0,730.9788818359375,730.9788818359375,730.9788818359375,155,155,155,883.8102416992188,883.8102416992188,883.8102416992188
