task,seed,episode_reward,episode_success
mw-push-back,3,1408.03369140625,1.0
mw-push-back,4,1437.208740234375,1.0
mw-push-back,5,1531.181884765625,1.0
mw-push-back,6,1446.9444580078125,1.0
mw-push-back,7,1436.0101318359375,1.0
mw-push-back,8,1319.6873779296875,1.0
mw-push-back,9,1457.146484375,1.0
mw-push,0,1798.99951171875,1.0
mw-push,1,1660.8597412109375,1.0
mw-push,2,1786.134765625,1.0
mw-push,3,1796.107177734375,1.0
mw-push,4,1737.87841796875,1.0
mw-push,5,1413.1182861328125,1.0
mw-push,6,1554.05322265625,1.0
mw-push,7,1763.8712158203125,1.0
mw-push,8,1785.672119140625,1.0
mw-push,9,1471.5606689453125,1.0
mw-push-wall,0,1397.4136962890625,1.0
mw-push-wall,1,1396.8795166015625,1.0
mw-push-wall,2,1462.445068359375,1.0
mw-push-wall,3,809.1593017578125,0.0
mw-push-wall,4,678.9022216796875,0.0
mw-push-wall,5,1218.0545654296875,0.0
mw-push-wall,6,1351.664306640625,1.0
mw-push-wall,7,1511.47900390625,1.0
mw-push-wall,8,1184.115966796875,1.0
mw-push-wall,9,1587.387939453125,1.0
mw-reach,0,1833.9002685546875,1.0
mw-reach,1,1831.1640625,0.0
mw-reach,2,1867.9080810546875,1.0
mw-reach,3,1843.2288818359375,0.0
mw-reach,4,1834.442626953125,1.0
mw-reach,5,1865.569580078125,1.0
mw-reach,6,1874.946533203125,1.0
mw-reach,7,1867.4420166015625,1.0
mw-reach,8,1868.9488525390625,1.0
mw-reach,9,1848.3262939453125,1.0
mw-reach-wall,0,1833.6634521484375,0.0
mw-reach-wall,1,1720.9019775390625,1.0
mw-reach-wall,2,1838.8828125,0.0
mw-reach-wall,3,1832.3153076171875,1.0
mw-reach-wall,4,1698.758056640625,1.0
mw-reach-wall,5,1827.7584228515625,1.0
mw-reach-wall,6,1557.7177734375,1.0
mw-reach-wall,7,1847.53955078125,1.0
mw-reach-wall,8,1849.2568359375,0.0
mw-reach-wall,9,1845.070556640625,0.0
mw-shelf-place,0,1570.844970703125,1.0
mw-shelf-place,1,471.6366271972656,1.0
mw-shelf-place,2,1533.2183837890625,1.0
mw-shelf-place,3,174.1314697265625,0.0
mw-shelf-place,4,917.9147338867188,1.0
mw-shelf-place,5,111.32950592041016,0.0
mw-shelf-place,6,1570.037109375,1.0
mw-shelf-place,7,1558.9970703125,1.0
mw-shelf-place,8,858.8895263671875,1.0
mw-shelf-place,9,1567.37060546875,1.0
mw-soccer,0,1544.5804443359375,1.0
mw-soccer,1,1558.019287109375,1.0
mw-soccer,2,1462.68896484375,1.0
mw-soccer,3,1690.6419677734375,1.0
mw-soccer,4,1579.44921875,1.0
mw-soccer,5,1594.694580078125,1.0
mw-soccer,6,1696.7841796875,1.0
mw-soccer,7,1740.3045654296875,1.0
mw-soccer,8,861.76171875,1.0
mw-soccer,9,1684.911865234375,1.0
mw-stick-push,0,1675.032470703125,1.0
mw-stick-push,1,1660.24072265625,1.0
mw-stick-push,2,1679.2584228515625,1.0
mw-stick-push,3,1660.72509765625,1.0
mw-stick-push,4,1670.09814453125,1.0
mw-stick-push,5,1355.4530029296875,1.0
mw-stick-push,6,1649.702880859375,1.0
mw-stick-push,7,1639.4378662109375,1.0
mw-stick-push,8,1671.97607421875,1.0
mw-stick-push,9,1655.1990966796875,1.0
mw-stick-pull,0,1637.265380859375,1.0
mw-stick-pull,1,1626.83935546875,1.0
mw-stick-pull,2,1471.91259765625,1.0
mw-stick-pull,3,1589.7735595703125,1.0
mw-stick-pull,4,1592.90380859375,1.0
mw-stick-pull,5,1630.81591796875,1.0
mw-stick-pull,6,1639.44921875,1.0
mw-stick-pull,7,1640.9122314453125,1.0
mw-stick-pull,8,1598.8424072265625,1.0
mw-stick-pull,9,1594.384033203125,1.0
mw-sweep-into,0,1757.2330322265625,1.0
mw-sweep-into,1,1806.53515625,1.0
mw-sweep-into,2,1801.211181640625,1.0
mw-sweep-into,3,1794.677490234375,1.0
mw-sweep-into,4,1791.554443359375,1.0
mw-sweep-into,5,1815.9483642578125,1.0
mw-sweep-into,6,1765.927490234375,1.0
mw-sweep-into,7,1786.892333984375,1.0
mw-sweep-into,8,1818.12890625,1.0
mw-sweep-into,9,1722.59814453125,1.0
mw-sweep,0,1367.0281982421875,1.0
mw-sweep,1,1475.996337890625,1.0
mw-sweep,2,1530.172119140625,1.0
mw-sweep,3,1346.461669921875,1.0
mw-sweep,4,1470.595947265625,1.0
mw-sweep,5,1349.8575439453125,1.0
mw-sweep,6,1523.380859375,1.0
mw-sweep,7,1595.7548828125,1.0
mw-sweep,8,1199.7779541015625,1.0
mw-sweep,9,1455.24951171875,1.0
mw-window-open,0,1531.9483642578125,0.0
mw-window-open,1,1590.425048828125,1.0
mw-window-open,2,1676.1944580078125,1.0
mw-window-open,3,1502.313232421875,1.0
mw-window-open,4,1605.888671875,1.0
mw-window-open,5,1439.9443359375,1.0
mw-window-open,6,1478.756103515625,1.0
mw-window-open,7,1683.9996337890625,1.0
mw-window-open,8,1665.747802734375,1.0
mw-window-open,9,1431.2220458984375,1.0
mw-window-close,0,1644.3115234375,1.0
mw-window-close,1,1376.991455078125,1.0
mw-window-close,2,1632.68798828125,1.0
mw-window-close,3,1618.9581298828125,1.0
mw-window-close,4,1554.6593017578125,0.0
mw-window-close,5,1517.22412109375,1.0
mw-window-close,6,1523.310791015625,0.0
mw-window-close,7,1642.092041015625,1.0
mw-window-close,8,1483.408935546875,0.0
mw-window-close,9,1620.5093994140625,1.0
mw-bin-picking,0,1104.1441650390625,1.0
mw-bin-picking,1,1602.277099609375,1.0
mw-bin-picking,2,1544.5626220703125,1.0
mw-bin-picking,3,1488.0458984375,1.0
mw-bin-picking,4,57.49074935913086,0.0
mw-bin-picking,5,38.84508514404297,0.0
mw-bin-picking,6,1574.077880859375,1.0
mw-bin-picking,7,134.95263671875,0.0
mw-bin-picking,8,1521.3133544921875,1.0
mw-bin-picking,9,1312.6229248046875,1.0
mw-box-close,0,1585.3052978515625,1.0
mw-box-close,1,1391.86328125,1.0
mw-box-close,2,305.33544921875,0.0
mw-box-close,3,948.3541870117188,1.0
mw-box-close,4,245.2016143798828,0.0
mw-box-close,5,1120.9185791015625,1.0
mw-box-close,6,1349.1563720703125,1.0
mw-box-close,7,961.84619140625,1.0
mw-box-close,8,1491.137451171875,1.0
mw-box-close,9,1269.8231201171875,1.0
mw-door-lock,0,1756.7867431640625,1.0
mw-door-lock,1,1783.6788330078125,1.0
mw-door-lock,2,1787.101318359375,1.0
mw-door-lock,3,1767.0443115234375,1.0
mw-door-lock,4,1698.8670654296875,1.0
mw-door-lock,5,1719.8966064453125,1.0
mw-door-lock,6,1741.8326416015625,1.0
mw-door-lock,7,1751.227783203125,1.0
mw-door-lock,8,1654.5120849609375,1.0
mw-door-lock,9,1689.787353515625,1.0
mw-door-unlock,0,1788.360595703125,1.0
mw-door-unlock,1,1747.5068359375,1.0
mw-door-unlock,2,1772.701416015625,1.0
mw-door-unlock,3,1732.5950927734375,1.0
mw-door-unlock,4,1790.958740234375,1.0
mw-door-unlock,5,1660.564208984375,1.0
mw-door-unlock,6,1755.749755859375,1.0
mw-door-unlock,7,1761.176025390625,1.0
mw-door-unlock,8,1738.1097412109375,1.0
mw-door-unlock,9,1744.4964599609375,1.0
mw-hand-insert,0,1567.6458740234375,1.0
mw-hand-insert,1,1256.54833984375,1.0
mw-hand-insert,2,1734.7490234375,1.0
mw-hand-insert,3,1203.837158203125,1.0
mw-hand-insert,4,1464.247314453125,1.0
mw-hand-insert,5,1523.4306640625,1.0
mw-hand-insert,6,1617.1839599609375,1.0
mw-hand-insert,7,1514.7412109375,1.0
mw-hand-insert,8,1653.7626953125,1.0
mw-hand-insert,9,1727.67041015625,1.0
