task,seed,episode_reward,episode_success
finger-turn-easy,0,983.0,0.0
finger-turn-easy,1,0.0,0.0
finger-turn-easy,2,772.0,0.0
finger-turn-easy,3,0.0,0.0
finger-turn-easy,4,962.0,0.0
finger-turn-easy,5,0.0,0.0
finger-turn-easy,6,992.0,0.0
finger-turn-easy,7,963.0,0.0
finger-turn-easy,8,978.0,0.0
finger-turn-easy,9,1000.0,0.0
finger-turn-hard,0,985.0,0.0
finger-turn-hard,1,0.0,0.0
finger-turn-hard,2,0.0,0.0
finger-turn-hard,3,970.0,0.0
finger-turn-hard,4,0.0,0.0
finger-turn-hard,5,0.0,0.0
finger-turn-hard,6,984.0,0.0
finger-turn-hard,7,982.0,0.0
finger-turn-hard,8,951.0,0.0
finger-turn-hard,9,1000.0,0.0
fish-swim,0,467.12274169921875,0.0
fish-swim,1,62.66764450073242,0.0
fish-swim,2,99.4925765991211,0.0
fish-swim,3,524.3576049804688,0.0
fish-swim,4,117.19807434082031,0.0
fish-swim,5,55.12364196777344,0.0
fish-swim,6,154.2732391357422,0.0
fish-swim,7,67.30731201171875,0.0
fish-swim,8,47.59001159667969,0.0
fish-swim,9,34.8974609375,0.0
hopper-stand,0,14.49425220489502,0.0
hopper-stand,1,150.5838165283203,0.0
hopper-stand,2,122.39765167236328,0.0
hopper-stand,3,73.79121398925781,0.0
hopper-stand,4,29.89809799194336,0.0
hopper-stand,5,0.0,0.0
hopper-stand,6,80.05030059814453,0.0
hopper-stand,7,234.29539489746094,0.0
hopper-stand,8,86.66983795166016,0.0
hopper-stand,9,235.82525634765625,0.0
hopper-hop,0,11.019682884216309,0.0
hopper-hop,1,67.30060577392578,0.0
hopper-hop,2,0.0,0.0
hopper-hop,3,16.9683780670166,0.0
hopper-hop,4,40.619049072265625,0.0
hopper-hop,5,0.0,0.0
hopper-hop,6,26.135555267333984,0.0
hopper-hop,7,0.3792484998703003,0.0
hopper-hop,8,51.375831604003906,0.0
hopper-hop,9,0.0,0.0
walker-walk-backwards,0,151.9015350341797,0.0
walker-walk-backwards,1,260.0067443847656,0.0
walker-walk-backwards,2,145.38922119140625,0.0
walker-walk-backwards,3,149.86532592773438,0.0
walker-walk-backwards,4,153.51638793945312,0.0
walker-walk-backwards,5,144.0270538330078,0.0
walker-walk-backwards,6,152.005126953125,0.0
walker-walk-backwards,7,150.56370544433594,0.0
walker-walk-backwards,8,151.30813598632812,0.0
walker-walk-backwards,9,154.2284698486328,0.0
walker-run-backwards,0,137.0576629638672,0.0
walker-run-backwards,1,141.18765258789062,0.0
walker-run-backwards,2,135.93458557128906,0.0
walker-run-backwards,3,133.77032470703125,0.0
walker-run-backwards,4,133.90872192382812,0.0
walker-run-backwards,5,132.0379638671875,0.0
walker-run-backwards,6,133.1649169921875,0.0
walker-run-backwards,7,136.55868530273438,0.0
walker-run-backwards,8,139.94869995117188,0.0
walker-run-backwards,9,142.04736328125,0.0
cheetah-run-backwards,0,11.866655349731445,0.0
cheetah-run-backwards,1,15.826639175415039,0.0
cheetah-run-backwards,2,9.179168701171875,0.0
cheetah-run-backwards,3,10.12196159362793,0.0
cheetah-run-backwards,4,8.135505676269531,0.0
cheetah-run-backwards,5,5.080522537231445,0.0
cheetah-run-backwards,6,7.067677021026611,0.0
cheetah-run-backwards,7,4.824611663818359,0.0
cheetah-run-backwards,8,6.60542631149292,0.0
cheetah-run-backwards,9,8.227927207946777,0.0
cheetah-run-front,0,211.99546813964844,0.0
cheetah-run-front,1,232.6195068359375,0.0
cheetah-run-front,2,183.53805541992188,0.0
cheetah-run-front,3,265.5574951171875,0.0
cheetah-run-front,4,203.60543823242188,0.0
cheetah-run-front,5,289.0525207519531,0.0
cheetah-run-front,6,237.13624572753906,0.0
cheetah-run-front,7,193.12298583984375,0.0
cheetah-run-front,8,201.39797973632812,0.0
cheetah-run-front,9,213.1640625,0.0
cheetah-run-back,0,82.00570678710938,0.0
cheetah-run-back,1,113.25822448730469,0.0
cheetah-run-back,2,109.12901306152344,0.0
cheetah-run-back,3,109.51436614990234,0.0
cheetah-run-back,4,84.54428100585938,0.0
cheetah-run-back,5,106.39972686767578,0.0
cheetah-run-back,6,111.32376861572266,0.0
cheetah-run-back,7,139.3824005126953,0.0
cheetah-run-back,8,109.80068969726562,0.0
cheetah-run-back,9,145.5616912841797,0.0
cheetah-jump,0,517.506103515625,0.0
cheetah-jump,1,460.4895324707031,0.0
cheetah-jump,2,442.67962646484375,0.0
cheetah-jump,3,438.0481872558594,0.0
cheetah-jump,4,462.7203063964844,0.0
cheetah-jump,5,505.2145080566406,0.0
cheetah-jump,6,551.987060546875,0.0
cheetah-jump,7,522.0357055664062,0.0
cheetah-jump,8,456.5340576171875,0.0
cheetah-jump,9,496.3944396972656,0.0
hopper-hop-backwards,0,0.0,0.0
hopper-hop-backwards,1,180.76869201660156,0.0
hopper-hop-backwards,2,0.0,0.0
hopper-hop-backwards,3,0.0,0.0
hopper-hop-backwards,4,0.0,0.0
hopper-hop-backwards,5,0.0,0.0
hopper-hop-backwards,6,0.0,0.0
hopper-hop-backwards,7,112.28532409667969,0.0
hopper-hop-backwards,8,0.0,0.0
hopper-hop-backwards,9,170.9110565185547,0.0
reacher-three-easy,0,0.0,0.0
reacher-three-easy,1,0.0,0.0
reacher-three-easy,2,193.0,0.0
reacher-three-easy,3,725.0,0.0
reacher-three-easy,4,18.0,0.0
reacher-three-easy,5,990.0,0.0
reacher-three-easy,6,238.0,0.0
reacher-three-easy,7,484.0,0.0
reacher-three-easy,8,688.0,0.0
reacher-three-easy,9,277.0,0.0
reacher-three-hard,0,0.0,0.0
reacher-three-hard,1,0.0,0.0
reacher-three-hard,2,0.0,0.0
reacher-three-hard,3,980.0,0.0
reacher-three-hard,4,986.0,0.0
reacher-three-hard,5,964.0,0.0
reacher-three-hard,6,0.0,0.0
reacher-three-hard,7,976.0,0.0
reacher-three-hard,8,0.0,0.0
reacher-three-hard,9,0.0,0.0
cup-spin,0,3.5030744075775146,0.0
cup-spin,1,4.133143901824951,0.0
cup-spin,2,3.5111727714538574,0.0
