Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
44,,,,,,,425984.0,425984.0,425984.0,27.01776885986328,27.01776885986328,27.01776885986328,,,,,,
46,434176.0,434176.0,434176.0,127.26124572753906,127.26124572753906,127.26124572753906,,,,,,,,,,,,
47,,,,,,,,,,,,,425984.0,425984.0,425984.0,39.65919494628906,39.65919494628906,39.65919494628906
73,843776.0,843776.0,843776.0,292.12213134765625,292.12213134765625,292.12213134765625,,,,,,,,,,,,
81,,,,,,,835584.0,835584.0,835584.0,26.990583419799805,26.990583419799805,26.990583419799805,,,,,,
82,,,,,,,,,,,,,835584.0,835584.0,835584.0,27.750368118286133,27.750368118286133,27.750368118286133
106,1253376.0,1253376.0,1253376.0,194.26991271972656,194.26991271972656,194.26991271972656,,,,,,,,,,,,
118,,,,,,,1245184.0,1245184.0,1245184.0,34.10257339477539,34.10257339477539,34.10257339477539,1245184.0,1245184.0,1245184.0,30.987722396850582,30.987722396850582,30.987722396850582
137,1662976.0,1662976.0,1662976.0,217.56243896484375,217.56243896484375,217.56243896484375,,,,,,,,,,,,
155,,,,,,,,,,,,,1654784.0,1654784.0,1654784.0,28.839262008666992,28.839262008666992,28.839262008666992
155,,,,,,,1654784.0,1654784.0,1654784.0,30.300296783447266,30.300296783447266,30.300296783447266,,,,,,
170,2072576.0,2072576.0,2072576.0,213.7239227294922,213.7239227294922,213.7239227294922,,,,,,,,,,,,
190,,,,,,,,,,,,,2064384.0,2064384.0,2064384.0,32.3348274230957,32.3348274230957,32.3348274230957
192,,,,,,,2064384.0,2064384.0,2064384.0,33.444068908691406,33.444068908691406,33.444068908691406,,,,,,
206,2482176.0,2482176.0,2482176.0,29.742355346679688,29.742355346679688,29.742355346679688,,,,,,,,,,,,
226,,,,,,,,,,,,,2473984.0,2473984.0,2473984.0,77.72235107421875,77.72235107421875,77.72235107421875
230,,,,,,,2473984.0,2473984.0,2473984.0,33.99978256225586,33.99978256225586,33.99978256225586,,,,,,
