"Step","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/100000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/100000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/100000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/250000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/250000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/250000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/50000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/50000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/walker-run/11/default/models/50000.pt - pretrain/episode_reward__MAX"
"0","22.536583146895282","18.405194672918878","25.71474257335067","23.5053196744062","17.533875926956533","28.15784028689377","22.80902215450381","17.22434723121114","28.678010735381395"
"2500","22.62983343542243","20.464795235707424","25.52427185426932","27.036061096928705","19.415068687219172","38.144795537134634","27.898535966523923","26.418201163387856","29.266507564578205"
"5000","14.374579723404409","11.758365003275685","18.288217376428655","24.780695958955523","11.763516755937598","36.3853007290978","19.678920615984435","15.460951091628521","27.33427501777187"
"7500","15.293830079399049","13.24414558908902","17.112539083650336","20.320839245027553","15.576212839921936","23.391501488513313","17.08116680911432","12.821703479206189","20.52361424455885"
"10000","21.765112719971995","13.698460486973635","34.9420214488171","14.507378602485794","12.060960748512297","17.539058592403308","57.201725361752324","30.760331141157074","81.47995500713587"
"12500","25.68911557942629","14.729477372393012","40.3944143590983","17.635103876229064","13.362044019484893","20.339047565031798","22.185620678945753","20.75335505809635","24.085066995071248"
"15000","31.573336861290347","17.962640704587102","42.541971691721116","56.06742461317529","21.64340105955489","102.38702174643986","43.70683034277366","22.91283086319454","79.69427983481437"
"17500","39.077845419687215","25.89609879532363","58.550182505557316","37.37029625817668","19.857056360156275","52.69948625555262","35.81096853388784","13.428978542424739","74.73476876905188"
"20000","63.16171945623743","41.66047568235081","100.3328538831789","93.02124316576715","73.7605854754569","102.76347663290798","71.64075313587672","49.794255742523816","98.64905336736702"
"22500","100.15686542300197","79.39671235019341","135.33584774234333","92.30184472041826","53.47659217505716","115.03938316504937","82.69502676924846","65.34325805027038","108.14661090064328"
