Step,FOWM_AntEnv_sweep_4 - rewards,FOWM_AntEnv_sweep_4 - rewards__MIN,FOWM_AntEnv_sweep_4 - rewards__MAX,FOWM_AntEnv_sweep_3 - rewards,FOWM_AntEnv_sweep_3 - rewards__MIN,FOWM_AntEnv_sweep_3 - rewards__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
31322,77.16435241699219,77.16435241699219,77.16435241699219,113.75894927978516,113.75894927978516,113.75894927978516,,,,196.147216796875,196.147216796875,196.147216796875,32.30748748779297,32.30748748779297,32.30748748779297
31925,,,,,,,110.79127106223112,110.79127106223112,110.79127106223112,,,,,,
61440,142.74443787641536,142.74443787641536,142.74443787641536,115.67265290327082,115.67265290327082,115.67265290327082,,,,79.78874177045832,79.78874177045832,79.78874177045832,346.1183545023919,346.1183545023919,346.1183545023919
62042,,,,,,,322.2182116852285,322.2182116852285,322.2182116852285,,,,,,
91558,384.8386682332995,384.8386682332995,384.8386682332995,571.1635278524401,571.1635278524401,571.1635278524401,,,,438.169844991112,438.169844991112,438.169844991112,741.8139184774401,741.8139184774401,741.8139184774401
92160,,,,,,,630.933398463011,630.933398463011,630.933398463011,,,,,,
121675,363.81856448373827,363.81856448373827,363.81856448373827,133.415671417332,133.415671417332,133.415671417332,,,,51.894324371433555,51.894324371433555,51.894324371433555,792.7422705384257,792.7422705384257,792.7422705384257
122278,,,,,,,583.1354931997779,583.1354931997779,583.1354931997779,,,,,,
151793,158.44799686698954,158.44799686698954,158.44799686698954,115.73505283622782,115.73505283622782,115.73505283622782,,,,93.16319919853251,93.16319919853251,93.16319919853251,872.5948779705052,872.5948779705052,872.5948779705052
152395,,,,,,,119.49456272902532,119.49456272902532,119.49456272902532,,,,,,
181911,302.33112187719394,302.33112187719394,302.33112187719394,113.21513219213536,113.21513219213536,113.21513219213536,,,,141.417318776608,141.417318776608,141.417318776608,894.0541138205533,894.0541138205533,894.0541138205533
182513,,,,,,,233.5218909252649,233.5218909252649,233.5218909252649,,,,,,
212028,195.20028509540617,195.20028509540617,195.20028509540617,111.95796789569914,111.95796789569914,111.95796789569914,,,,131.14846624774992,131.14846624774992,131.14846624774992,699.1251660768515,699.1251660768515,699.1251660768515
212631,,,,,,,161.71379279093807,161.71379279093807,161.71379279093807,,,,,,
242146,195.58769782533716,195.58769782533716,195.58769782533716,85.03149207582544,85.03149207582544,85.03149207582544,,,,401.7638758038528,401.7638758038528,401.7638758038528,750.3572901104934,750.3572901104934,750.3572901104934
242748,,,,,,,151.39420478844718,151.39420478844718,151.39420478844718,,,,,,
272264,324.80856087265096,324.80856087265096,324.80856087265096,71.93514015731891,71.93514015731891,71.93514015731891,,,,76.50363686142047,76.50363686142047,76.50363686142047,690.0960669761665,690.0960669761665,690.0960669761665
272866,,,,,,,241.19285714240158,241.19285714240158,241.19285714240158,,,,,,
302381,261.81369516019913,261.81369516019913,261.81369516019913,151.73413583402723,151.73413583402723,151.73413583402723,,,,106.62276956205457,106.62276956205457,106.62276956205457,856.814641205121,856.814641205121,856.814641205121
302984,,,,,,,233.18602853932475,233.18602853932475,233.18602853932475,,,,,,
332499,202.7685669965754,202.7685669965754,202.7685669965754,206.69680491161446,206.69680491161446,206.69680491161446,,,,149.8306550092707,149.8306550092707,149.8306550092707,909.0037354536065,909.0037354536065,909.0037354536065
333101,,,,,,,266.4587867282401,266.4587867282401,266.4587867282401,,,,,,
362616,118.29198894281497,118.29198894281497,118.29198894281497,160.6277814843189,160.6277814843189,160.6277814843189,,,,66.4056211449634,66.4056211449634,66.4056211449634,558.8991285302174,558.8991285302174,558.8991285302174
363219,,,,,,,427.74498791031954,427.74498791031954,427.74498791031954,,,,,,
392734,124.39075878944519,124.39075878944519,124.39075878944519,189.51273754921078,189.51273754921078,189.51273754921078,,,,120.29610852089048,120.29610852089048,120.29610852089048,357.97796276893735,357.97796276893735,357.97796276893735
393336,,,,,,,275.9403077447427,275.9403077447427,275.9403077447427,,,,,,
422852,131.02487562093864,131.02487562093864,131.02487562093864,171.2908057967199,171.2908057967199,171.2908057967199,,,,123.90134809408318,123.90134809408318,123.90134809408318,469.5839271346105,469.5839271346105,469.5839271346105
423454,,,,,,,232.5981367344393,232.5981367344393,232.5981367344393,,,,,,
