Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
27,,,,,,,106496.0,106496.0,106496.0,35.02117919921875,35.02117919921875,35.02117919921875,,,,,,
32,108544.0,108544.0,108544.0,147.85768127441406,147.85768127441406,147.85768127441406,,,,,,,,,,,,
33,,,,,,,,,,,,,106496.0,106496.0,106496.0,50.8121337890625,50.8121337890625,50.8121337890625
46,,,,,,,208896.0,208896.0,208896.0,35.71799850463867,35.71799850463867,35.71799850463867,,,,,,
53,210944.0,210944.0,210944.0,33.284278869628906,33.284278869628906,33.284278869628906,,,,,,,208896.0,208896.0,208896.0,34.64185333251953,34.64185333251953,34.64185333251953
65,,,,,,,311296.0,311296.0,311296.0,26.78943634033203,26.78943634033203,26.78943634033203,,,,,,
75,,,,,,,,,,,,,311296.0,311296.0,311296.0,28.38322639465332,28.38322639465332,28.38322639465332
75,313344.0,313344.0,313344.0,33.16660690307617,33.16660690307617,33.16660690307617,,,,,,,,,,,,
85,,,,,,,413696.0,413696.0,413696.0,33.32853698730469,33.32853698730469,33.32853698730469,,,,,,
94,,,,,,,,,,,,,413696.0,413696.0,413696.0,25.67003059387207,25.67003059387207,25.67003059387207
97,415744.0,415744.0,415744.0,31.829410552978516,31.829410552978516,31.829410552978516,,,,,,,,,,,,
104,,,,,,,516096.0,516096.0,516096.0,33.463844299316406,33.463844299316406,33.463844299316406,,,,,,
115,,,,,,,,,,,,,516096.0,516096.0,516096.0,27.25615882873535,27.25615882873535,27.25615882873535
119,518144.0,518144.0,518144.0,33.89481735229492,33.89481735229492,33.89481735229492,,,,,,,,,,,,
124,,,,,,,618496.0,618496.0,618496.0,34.79232406616211,34.79232406616211,34.79232406616211,,,,,,
134,,,,,,,,,,,,,618496.0,618496.0,618496.0,29.65117454528809,29.65117454528809,29.65117454528809
141,620544.0,620544.0,620544.0,33.50175857543945,33.50175857543945,33.50175857543945,,,,,,,,,,,,
143,,,,,,,720896.0,720896.0,720896.0,33.91260528564453,33.91260528564453,33.91260528564453,,,,,,
156,,,,,,,,,,,,,720896.0,720896.0,720896.0,31.56317710876465,31.56317710876465,31.56317710876465
162,,,,,,,823296.0,823296.0,823296.0,35.860652923583984,35.860652923583984,35.860652923583984,,,,,,
163,722944.0,722944.0,722944.0,33.741432189941406,33.741432189941406,33.741432189941406,,,,,,,,,,,,
179,,,,,,,,,,,,,823296.0,823296.0,823296.0,32.837520599365234,32.837520599365234,32.837520599365234
