Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
1909,27918336.0,27918336.0,27918336.0,33.57037353515625,33.57037353515625,33.57037353515625,,,,,,,,,,,,
1946,,,,,,,27885568.0,27885568.0,27885568.0,36.46750259399414,36.46750259399414,36.46750259399414,,,,,,
2020,,,,,,,,,,,,,27918336.0,27918336.0,27918336.0,36.27398681640625,36.27398681640625,36.27398681640625
2023,29556736.0,29556736.0,29556736.0,33.16810989379883,33.16810989379883,33.16810989379883,,,,,,,,,,,,
2064,,,,,,,29523968.0,29523968.0,29523968.0,35.43569564819336,35.43569564819336,35.43569564819336,,,,,,
2136,31195136.0,31195136.0,31195136.0,33.67133331298828,33.67133331298828,33.67133331298828,,,,,,,,,,,,
2140,,,,,,,,,,,,,29556736.0,29556736.0,29556736.0,32.55095672607422,32.55095672607422,32.55095672607422
2180,,,,,,,31162368.0,31162368.0,31162368.0,35.73759841918945,35.73759841918945,35.73759841918945,,,,,,
2248,32833536.0,32833536.0,32833536.0,33.31798553466797,33.31798553466797,33.31798553466797,,,,,,,,,,,,
2265,,,,,,,,,,,,,31195136.0,31195136.0,31195136.0,33.43537139892578,33.43537139892578,33.43537139892578
2296,,,,,,,32800768.0,32800768.0,32800768.0,35.24762725830078,35.24762725830078,35.24762725830078,,,,,,
2361,34471936.0,34471936.0,34471936.0,32.92355728149414,32.92355728149414,32.92355728149414,,,,,,,,,,,,
2387,,,,,,,,,,,,,32833536.0,32833536.0,32833536.0,33.26530456542969,33.26530456542969,33.26530456542969
2407,,,,,,,34439168.0,34439168.0,34439168.0,34.37668991088867,34.37668991088867,34.37668991088867,,,,,,
2474,36110336.0,36110336.0,36110336.0,33.48251724243164,33.48251724243164,33.48251724243164,,,,,,,,,,,,
2505,,,,,,,,,,,,,34471936.0,34471936.0,34471936.0,34.47385025024414,34.47385025024414,34.47385025024414
2516,,,,,,,36077568.0,36077568.0,36077568.0,37.23173141479492,37.23173141479492,37.23173141479492,,,,,,
2587,37748736.0,37748736.0,37748736.0,32.74946594238281,32.74946594238281,32.74946594238281,,,,,,,,,,,,
2624,,,,,,,,,,,,,36110336.0,36110336.0,36110336.0,32.68079376220703,32.68079376220703,32.68079376220703
2627,,,,,,,37715968.0,37715968.0,37715968.0,38.01730728149414,38.01730728149414,38.01730728149414,,,,,,
2698,39387136.0,39387136.0,39387136.0,34.71866226196289,34.71866226196289,34.71866226196289,,,,,,,,,,,,
2734,,,,,,,39354368.0,39354368.0,39354368.0,37.30207824707031,37.30207824707031,37.30207824707031,,,,,,
2747,,,,,,,,,,,,,37748736.0,37748736.0,37748736.0,32.97185134887695,32.97185134887695,32.97185134887695
2807,41025536.0,41025536.0,41025536.0,40.74079895019531,40.74079895019531,40.74079895019531,,,,,,,,,,,,
2847,,,,,,,40992768.0,40992768.0,40992768.0,38.58606719970703,38.58606719970703,38.58606719970703,,,,,,
2871,,,,,,,,,,,,,39387136.0,39387136.0,39387136.0,33.32754135131836,33.32754135131836,33.32754135131836
2920,42663936.0,42663936.0,42663936.0,33.71233367919922,33.71233367919922,33.71233367919922,,,,,,,,,,,,
2954,,,,,,,42631168.0,42631168.0,42631168.0,42.34280014038086,42.34280014038086,42.34280014038086,,,,,,
2988,,,,,,,,,,,,,41025536.0,41025536.0,41025536.0,33.87541198730469,33.87541198730469,33.87541198730469
3033,44302336.0,44302336.0,44302336.0,33.944557189941406,33.944557189941406,33.944557189941406,,,,,,,,,,,,
3062,,,,,,,44269568.0,44269568.0,44269568.0,46.03762435913086,46.03762435913086,46.03762435913086,,,,,,
3113,,,,,,,,,,,,,42663936.0,42663936.0,42663936.0,33.760929107666016,33.760929107666016,33.760929107666016
3145,45940736.0,45940736.0,45940736.0,33.74540710449219,33.74540710449219,33.74540710449219,,,,,,,,,,,,
3170,,,,,,,45907968.0,45907968.0,45907968.0,40.49582290649414,40.49582290649414,40.49582290649414,,,,,,
3233,,,,,,,,,,,,,44302336.0,44302336.0,44302336.0,33.35716247558594,33.35716247558594,33.35716247558594
3257,47579136.0,47579136.0,47579136.0,33.20143127441406,33.20143127441406,33.20143127441406,,,,,,,,,,,,
3271,,,,,,,47546368.0,47546368.0,47546368.0,50.66849899291992,50.66849899291992,50.66849899291992,,,,,,
3355,,,,,,,,,,,,,45940736.0,45940736.0,45940736.0,36.40185546875,36.40185546875,36.40185546875
3369,49217536.0,49217536.0,49217536.0,33.29558181762695,33.29558181762695,33.29558181762695,,,,,,,,,,,,
3379,,,,,,,49184768.0,49184768.0,49184768.0,43.2648811340332,43.2648811340332,43.2648811340332,,,,,,
3475,,,,,,,,,,,,,47579136.0,47579136.0,47579136.0,34.05177688598633,34.05177688598633,34.05177688598633
3482,50855936.0,50855936.0,50855936.0,34.8310432434082,34.8310432434082,34.8310432434082,,,,,,,,,,,,
3485,,,,,,,50823168.0,50823168.0,50823168.0,42.48461151123047,42.48461151123047,42.48461151123047,,,,,,
3589,,,,,,,52461568.0,52461568.0,52461568.0,57.500877380371094,57.500877380371094,57.500877380371094,,,,,,
3594,52494336.0,52494336.0,52494336.0,34.79356384277344,34.79356384277344,34.79356384277344,,,,,,,,,,,,
3596,,,,,,,,,,,,,49217536.0,49217536.0,49217536.0,34.39118576049805,34.39118576049805,34.39118576049805
3692,,,,,,,54099968.0,54099968.0,54099968.0,49.653446197509766,49.653446197509766,49.653446197509766,,,,,,
3706,54132736.0,54132736.0,54132736.0,35.596004486083984,35.596004486083984,35.596004486083984,,,,,,,,,,,,
3713,,,,,,,,,,,,,50855936.0,50855936.0,50855936.0,34.971397399902344,34.971397399902344,34.971397399902344
3793,,,,,,,55738368.0,55738368.0,55738368.0,40.936256408691406,40.936256408691406,40.936256408691406,,,,,,
3818,55771136.0,55771136.0,55771136.0,35.7319221496582,35.7319221496582,35.7319221496582,,,,,,,,,,,,
3836,,,,,,,,,,,,,52494336.0,52494336.0,52494336.0,34.90298843383789,34.90298843383789,34.90298843383789
3895,,,,,,,57376768.0,57376768.0,57376768.0,51.05901336669922,51.05901336669922,51.05901336669922,,,,,,
3930,57409536.0,57409536.0,57409536.0,35.942501068115234,35.942501068115234,35.942501068115234,,,,,,,,,,,,
3955,,,,,,,,,,,,,54132736.0,54132736.0,54132736.0,33.319210052490234,33.319210052490234,33.319210052490234
3999,,,,,,,59015168.0,59015168.0,59015168.0,49.11901092529297,49.11901092529297,49.11901092529297,,,,,,
4042,59047936.0,59047936.0,59047936.0,34.77335739135742,34.77335739135742,34.77335739135742,,,,,,,,,,,,
4075,,,,,,,,,,,,,55771136.0,55771136.0,55771136.0,33.9509391784668,33.9509391784668,33.9509391784668
4102,,,,,,,60653568.0,60653568.0,60653568.0,57.20670318603515,57.20670318603515,57.20670318603515,,,,,,
4154,60686336.0,60686336.0,60686336.0,36.88694763183594,36.88694763183594,36.88694763183594,,,,,,,,,,,,
4198,,,,,,,,,,,,,57409536.0,57409536.0,57409536.0,33.701141357421875,33.701141357421875,33.701141357421875
4205,,,,,,,62291968.0,62291968.0,62291968.0,58.146385192871094,58.146385192871094,58.146385192871094,,,,,,
4266,62324736.0,62324736.0,62324736.0,36.058353424072266,36.058353424072266,36.058353424072266,,,,,,,,,,,,
4307,,,,,,,63930368.0,63930368.0,63930368.0,49.83538436889648,49.83538436889648,49.83538436889648,,,,,,
4322,,,,,,,,,,,,,59047936.0,59047936.0,59047936.0,34.21648406982422,34.21648406982422,34.21648406982422
4377,63963136.0,63963136.0,63963136.0,37.63325881958008,37.63325881958008,37.63325881958008,,,,,,,,,,,,
