"Step","FOWM_HopperEnv_sweep_4 - rewards","FOWM_HopperEnv_sweep_4 - rewards__MIN","FOWM_HopperEnv_sweep_4 - rewards__MAX","FOWM_HopperEnv_sweep_3 - rewards","FOWM_HopperEnv_sweep_3 - rewards__MIN","FOWM_HopperEnv_sweep_3 - rewards__MAX","FOWM_HopperEnv_sweep_2 - rewards","FOWM_HopperEnv_sweep_2 - rewards__MIN","FOWM_HopperEnv_sweep_2 - rewards__MAX","FOWM_HopperEnv_sweep_1 - rewards","FOWM_HopperEnv_sweep_1 - rewards__MIN","FOWM_HopperEnv_sweep_1 - rewards__MAX","FOWM_HopperEnv_sweep_0 - rewards","FOWM_HopperEnv_sweep_0 - rewards__MIN","FOWM_HopperEnv_sweep_0 - rewards__MAX"
"51200","195.6007843017578","195.6007843017578","195.6007843017578","78.30745697021484","78.30745697021484","78.30745697021484","208.85076904296875","208.85076904296875","208.85076904296875","142.35232543945312","142.35232543945312","142.35232543945312","225.8784942626953","225.8784942626953","225.8784942626953"
"102400","531.06689453125","531.06689453125","531.06689453125","236.8579864501953","236.8579864501953","236.8579864501953","513.2543334960938","513.2543334960938","513.2543334960938","467.4063415527344","467.4063415527344","467.4063415527344","642.5431518554688","642.5431518554688","642.5431518554688"
"153600","1107.1798095703125","1107.1798095703125","1107.1798095703125","575.1998291015625","575.1998291015625","575.1998291015625","1337.8046875","1337.8046875","1337.8046875","1108.072998046875","1108.072998046875","1108.072998046875","1247.4769287109375","1247.4769287109375","1247.4769287109375"
"204800","1259.934326171875","1259.934326171875","1259.934326171875","976.31591796875","976.31591796875","976.31591796875","1472.3621826171875","1472.3621826171875","1472.3621826171875","1257.0435791015625","1257.0435791015625","1257.0435791015625","1570.593994140625","1570.593994140625","1570.593994140625"
"256000","1746.61767578125","1746.61767578125","1746.61767578125","1463.26025390625","1463.26025390625","1463.26025390625","1118.095703125","1118.095703125","1118.095703125","1854.3388671875","1854.3388671875","1854.3388671875","1676.189697265625","1676.189697265625","1676.189697265625"
"307200","2202.194580078125","2202.194580078125","2202.194580078125","1619.3348388671875","1619.3348388671875","1619.3348388671875","1594.4017333984375","1594.4017333984375","1594.4017333984375","2171.908203125","2171.908203125","2171.908203125","1504.28173828125","1504.28173828125","1504.28173828125"
"358400","1970.361572265625","1970.361572265625","1970.361572265625","1418.33935546875","1418.33935546875","1418.33935546875","1464.5750732421875","1464.5750732421875","1464.5750732421875","1421.731689453125","1421.731689453125","1421.731689453125","1576.4991455078125","1576.4991455078125","1576.4991455078125"
"409600","2482.896240234375","2482.896240234375","2482.896240234375","1517.594970703125","1517.594970703125","1517.594970703125","1398.26416015625","1398.26416015625","1398.26416015625","2188.546630859375","2188.546630859375","2188.546630859375","1385.0250244140625","1385.0250244140625","1385.0250244140625"
"460800","2550.5751953125","2550.5751953125","2550.5751953125","2138.9833984375","2138.9833984375","2138.9833984375","1827.704833984375","1827.704833984375","1827.704833984375","2283.423828125","2283.423828125","2283.423828125","2324.2490234375","2324.2490234375","2324.2490234375"
"512000","2855.830810546875","2855.830810546875","2855.830810546875","2536.639892578125","2536.639892578125","2536.639892578125","1144.5960693359375","1144.5960693359375","1144.5960693359375","2837.75537109375","2837.75537109375","2837.75537109375","2061.015625","2061.015625","2061.015625"
