"Step","PWM_AnymalEnv_sweep_2 - rewards","PWM_AnymalEnv_sweep_2 - rewards__MIN","PWM_AnymalEnv_sweep_2 - rewards__MAX","PWM_AnymalEnv_sweep_1 - rewards","PWM_AnymalEnv_sweep_1 - rewards__MIN","PWM_AnymalEnv_sweep_1 - rewards__MAX","PWM_AnymalEnv_sweep_0 - rewards","PWM_AnymalEnv_sweep_0 - rewards__MIN","PWM_AnymalEnv_sweep_0 - rewards__MAX"
"102400","19.479549407958984","19.479549407958984","19.479549407958984","22.99102020263672","22.99102020263672","22.99102020263672","18.78815460205078","18.78815460205078","18.78815460205078"
"153600","26.81931495666504","26.81931495666504","26.81931495666504","19.329750061035156","19.329750061035156","19.329750061035156","20.655607223510742","20.655607223510742","20.655607223510742"
"204800","28.35234260559082","28.35234260559082","28.35234260559082","22.660064697265625","22.660064697265625","22.660064697265625","22.27114486694336","22.27114486694336","22.27114486694336"
"256000","28.797225952148438","28.797225952148438","28.797225952148438","22.939918518066406","22.939918518066406","22.939918518066406","21.976608276367188","21.976608276367188","21.976608276367188"
"307200","21.71916961669922","21.71916961669922","21.71916961669922","21.85474395751953","21.85474395751953","21.85474395751953","21.79064178466797","21.79064178466797","21.79064178466797"
"358400","19.729352951049805","19.729352951049805","19.729352951049805","26.05693244934082","26.05693244934082","26.05693244934082","24.737342834472656","24.737342834472656","24.737342834472656"
"409600","21.800334930419922","21.800334930419922","21.800334930419922","21.03420639038086","21.03420639038086","21.03420639038086","24.097623825073242","24.097623825073242","24.097623825073242"
"460800","21.955608367919922","21.955608367919922","21.955608367919922","23.36179542541504","23.36179542541504","23.36179542541504","23.493141174316406","23.493141174316406","23.493141174316406"
"512000","19.923927307128906","19.923927307128906","19.923927307128906","21.915828704833984","21.915828704833984","21.915828704833984","21.601993560791016","21.601993560791016","21.601993560791016"
"563200","21.577749252319336","21.577749252319336","21.577749252319336","22.341196060180664","22.341196060180664","22.341196060180664","21.22191619873047","21.22191619873047","21.22191619873047"
"614400","21.89719009399414","21.89719009399414","21.89719009399414","21.21470832824707","21.21470832824707","21.21470832824707","20.142072677612305","20.142072677612305","20.142072677612305"
"665600","22.62143898010254","22.62143898010254","22.62143898010254","23.76007843017578","23.76007843017578","23.76007843017578","22.038671493530273","22.038671493530273","22.038671493530273"
"716800","24.149072647094727","24.149072647094727","24.149072647094727","22.81106948852539","22.81106948852539","22.81106948852539","22.910306930541992","22.910306930541992","22.910306930541992"
"768000","23.31467056274414","23.31467056274414","23.31467056274414","21.028480529785156","21.028480529785156","21.028480529785156","23.562170028686523","23.562170028686523","23.562170028686523"
"819200","22.80579948425293","22.80579948425293","22.80579948425293","22.068265914916992","22.068265914916992","22.068265914916992","20.857181549072266","20.857181549072266","20.857181549072266"
"870400","21.03489875793457","21.03489875793457","21.03489875793457","22.53373146057129","22.53373146057129","22.53373146057129","26.196617126464844","26.196617126464844","26.196617126464844"
