"Step","dflex_ant_4 - train_return","dflex_ant_4 - train_return__MIN","dflex_ant_4 - train_return__MAX","dflex_ant_3 - train_return","dflex_ant_3 - train_return__MIN","dflex_ant_3 - train_return__MAX","dflex_ant_2 - train_return","dflex_ant_2 - train_return__MIN","dflex_ant_2 - train_return__MAX","dflex_ant_1 - train_return","dflex_ant_1 - train_return__MIN","dflex_ant_1 - train_return__MAX","dflex_ant_0 - train_return","dflex_ant_0 - train_return__MIN","dflex_ant_0 - train_return__MAX"
"0","38.07383346557617","38.07383346557617","38.07383346557617","39.79541015625","39.79541015625","39.79541015625","39.58713912963867","39.58713912963867","39.58713912963867","39.520503997802734","39.520503997802734","39.520503997802734","37.011680603027344","37.011680603027344","37.011680603027344"
"9096","","","","","","","38.97737503051758","38.97737503051758","38.97737503051758","","","","","",""
"9352","","","","","","","37.75996398925781","37.75996398925781","37.75996398925781","","","","","",""
"9608","","","","","","","35.3469123840332","35.3469123840332","35.3469123840332","","","","","",""
"9864","37.3231315612793","37.3231315612793","37.3231315612793","","","","34.504825592041016","34.504825592041016","34.504825592041016","","","","","",""
"10120","35.81185531616211","35.81185531616211","35.81185531616211","","","","33.835609436035156","33.835609436035156","33.835609436035156","38.79998016357422","38.79998016357422","38.79998016357422","","",""
"10376","34.33601760864258","34.33601760864258","34.33601760864258","","","","34.15024185180664","34.15024185180664","34.15024185180664","37.865535736083984","37.865535736083984","37.865535736083984","","",""
"10632","34.07905197143555","34.07905197143555","34.07905197143555","","","","34.63514709472656","34.63514709472656","34.63514709472656","37.50581359863281","37.50581359863281","37.50581359863281","","",""
"10888","34.11699676513672","34.11699676513672","34.11699676513672","","","","34.75325012207031","34.75325012207031","34.75325012207031","37.40188980102539","37.40188980102539","37.40188980102539","","",""
"11144","33.94113540649414","33.94113540649414","33.94113540649414","","","","35.001678466796875","35.001678466796875","35.001678466796875","37.73634719848633","37.73634719848633","37.73634719848633","","",""
"11400","33.99676513671875","33.99676513671875","33.99676513671875","","","","35.14791488647461","35.14791488647461","35.14791488647461","","","","","",""
"11656","33.9212760925293","33.9212760925293","33.9212760925293","","","","35.53850555419922","35.53850555419922","35.53850555419922","","","","","",""
"11912","34.135799407958984","34.135799407958984","34.135799407958984","","","","35.83019256591797","35.83019256591797","35.83019256591797","","","","","",""
"12168","","","","","","","36.01997756958008","36.01997756958008","36.01997756958008","","","","","",""
"12424","","","","","","","36.46298599243164","36.46298599243164","36.46298599243164","","","","","",""
"12936","","","","","","","36.63141632080078","36.63141632080078","36.63141632080078","","","","","",""
"13192","34.61440658569336","34.61440658569336","34.61440658569336","","","","37.00055694580078","37.00055694580078","37.00055694580078","","","","","",""
"13448","34.85475540161133","34.85475540161133","34.85475540161133","","","","37.15986633300781","37.15986633300781","37.15986633300781","","","","","",""
"13704","35.126617431640625","35.126617431640625","35.126617431640625","","","","36.89775848388672","36.89775848388672","36.89775848388672","","","","","",""
"13960","","","","","","","37.375423431396484","37.375423431396484","37.375423431396484","","","","","",""
"14216","35.470314025878906","35.470314025878906","35.470314025878906","","","","37.64791488647461","37.64791488647461","37.64791488647461","","","","","",""
"14472","35.7992057800293","35.7992057800293","35.7992057800293","","","","37.06375503540039","37.06375503540039","37.06375503540039","","","","","",""
"14728","","","","","","","36.2261962890625","36.2261962890625","36.2261962890625","","","","","",""
"14984","36.125057220458984","36.125057220458984","36.125057220458984","","","","35.99844741821289","35.99844741821289","35.99844741821289","","","","","",""
"15240","","","","","","","35.30214309692383","35.30214309692383","35.30214309692383","","","","","",""
"15496","","","","40.068111419677734","40.068111419677734","40.068111419677734","35.09897994995117","35.09897994995117","35.09897994995117","","","","","",""
"15752","36.27900314331055","36.27900314331055","36.27900314331055","","","","35.41958999633789","35.41958999633789","35.41958999633789","","","","","",""
"16008","37.0726432800293","37.0726432800293","37.0726432800293","","","","35.42156219482422","35.42156219482422","35.42156219482422","","","","","",""
"16264","37.584632873535156","37.584632873535156","37.584632873535156","","","","35.21903610229492","35.21903610229492","35.21903610229492","","","","","",""
"16520","38.195003509521484","38.195003509521484","38.195003509521484","","","","35.661521911621094","35.661521911621094","35.661521911621094","","","","","",""
"16776","","","","","","","36.4926643371582","36.4926643371582","36.4926643371582","","","","","",""
"17032","37.9188232421875","37.9188232421875","37.9188232421875","","","","36.424652099609375","36.424652099609375","36.424652099609375","","","","","",""
"17288","38.247764587402344","38.247764587402344","38.247764587402344","40.3465690612793","40.3465690612793","40.3465690612793","36.08563995361328","36.08563995361328","36.08563995361328","","","","","",""
"17544","38.615970611572266","38.615970611572266","38.615970611572266","","","","35.742164611816406","35.742164611816406","35.742164611816406","","","","","",""
"17800","","","","42.359737396240234","42.359737396240234","42.359737396240234","35.574981689453125","35.574981689453125","35.574981689453125","","","","","",""
"18056","38.94816970825195","38.94816970825195","38.94816970825195","42.633583068847656","42.633583068847656","42.633583068847656","","","","","","","","",""
"18568","39.38182830810547","39.38182830810547","39.38182830810547","43.73249816894531","43.73249816894531","43.73249816894531","35.917293548583984","35.917293548583984","35.917293548583984","","","","","",""
"18824","40.009063720703125","40.009063720703125","40.009063720703125","","","","","","","","","","","",""
"19080","40.360321044921875","40.360321044921875","40.360321044921875","45.499427795410156","45.499427795410156","45.499427795410156","","","","","","","","",""
"19336","","","","46.40663528442383","46.40663528442383","46.40663528442383","","","","","","","","",""
"19592","40.69157791137695","40.69157791137695","40.69157791137695","47.0161018371582","47.0161018371582","47.0161018371582","","","","","","","","",""
"19848","41.14812469482422","41.14812469482422","41.14812469482422","48.212371826171875","48.212371826171875","48.212371826171875","","","","","","","","",""
"20104","41.449913024902344","41.449913024902344","41.449913024902344","","","","36.92869567871094","36.92869567871094","36.92869567871094","","","","","",""
"20616","","","","50.857574462890625","50.857574462890625","50.857574462890625","","","","","","","","",""
"20872","41.633121490478516","41.633121490478516","41.633121490478516","51.73677444458008","51.73677444458008","51.73677444458008","","","","","","","","",""
"21128","42.324790954589844","42.324790954589844","42.324790954589844","52.307098388671875","52.307098388671875","52.307098388671875","36.84915542602539","36.84915542602539","36.84915542602539","","","","","",""
"21384","","","","53.11355972290039","53.11355972290039","53.11355972290039","36.90217590332031","36.90217590332031","36.90217590332031","","","","37.70377731323242","37.70377731323242","37.70377731323242"
"21640","42.76392364501953","42.76392364501953","42.76392364501953","","","","37.93463134765625","37.93463134765625","37.93463134765625","","","","","",""
"21896","42.33177947998047","42.33177947998047","42.33177947998047","","","","","","","","","","40.866302490234375","40.866302490234375","40.866302490234375"
"22152","42.81948471069336","42.81948471069336","42.81948471069336","","","","37.883506774902344","37.883506774902344","37.883506774902344","","","","","",""
"22408","42.702938079833984","42.702938079833984","42.702938079833984","","","","37.828636169433594","37.828636169433594","37.828636169433594","","","","","",""
"22664","","","","53.9336051940918","53.9336051940918","53.9336051940918","37.77397537231445","37.77397537231445","37.77397537231445","","","","","",""
"22920","43.731929779052734","43.731929779052734","43.731929779052734","","","","37.72172164916992","37.72172164916992","37.72172164916992","","","","42.989540100097656","42.989540100097656","42.989540100097656"
"23176","44.176414489746094","44.176414489746094","44.176414489746094","54.4311408996582","54.4311408996582","54.4311408996582","37.53303527832031","37.53303527832031","37.53303527832031","","","","","",""
"23432","44.43671798706055","44.43671798706055","44.43671798706055","","","","37.537818908691406","37.537818908691406","37.537818908691406","","","","","",""
"23688","46.032310485839844","46.032310485839844","46.032310485839844","","","","","","","","","","","",""
"23944","46.15637969970703","46.15637969970703","46.15637969970703","","","","37.73209762573242","37.73209762573242","37.73209762573242","","","","","",""
"24200","46.382904052734375","46.382904052734375","46.382904052734375","","","","","","","","","","","",""
"24456","48.05904769897461","48.05904769897461","48.05904769897461","","","","","","","","","","43.951358795166016","43.951358795166016","43.951358795166016"
"25224","48.502967834472656","48.502967834472656","48.502967834472656","54.62270736694336","54.62270736694336","54.62270736694336","","","","","","","45.72284698486328","45.72284698486328","45.72284698486328"
"25480","49.26481246948242","49.26481246948242","49.26481246948242","56.483314514160156","56.483314514160156","56.483314514160156","","","","","","","48.598175048828125","48.598175048828125","48.598175048828125"
"25992","50.24309539794922","50.24309539794922","50.24309539794922","","","","","","","","","","","",""
"26248","50.62937545776367","50.62937545776367","50.62937545776367","","","","37.68929672241211","37.68929672241211","37.68929672241211","","","","50.950103759765625","50.950103759765625","50.950103759765625"
"26504","","","","57.337120056152344","57.337120056152344","57.337120056152344","","","","39.974037170410156","39.974037170410156","39.974037170410156","50.7551383972168","50.7551383972168","50.7551383972168"
"26760","50.552528381347656","50.552528381347656","50.552528381347656","","","","","","","","","","","",""
"27016","","","","","","","","","","","","","50.764305114746094","50.764305114746094","50.764305114746094"
"27272","","","","59.4669303894043","59.4669303894043","59.4669303894043","37.81348419189453","37.81348419189453","37.81348419189453","","","","","",""
"27528","50.78126525878906","50.78126525878906","50.78126525878906","","","","","","","","","","","",""
