"Step","PWM_AnymalEnv_sweep_2 - rewards","PWM_AnymalEnv_sweep_2 - rewards__MIN","PWM_AnymalEnv_sweep_2 - rewards__MAX","PWM_AnymalEnv_sweep_1 - rewards","PWM_AnymalEnv_sweep_1 - rewards__MIN","PWM_AnymalEnv_sweep_1 - rewards__MAX","PWM_AnymalEnv_sweep_0 - rewards","PWM_AnymalEnv_sweep_0 - rewards__MIN","PWM_AnymalEnv_sweep_0 - rewards__MAX"
"102400","21.54654312133789","21.54654312133789","21.54654312133789","22.369586944580078","22.369586944580078","22.369586944580078","23.541208267211914","23.541208267211914","23.541208267211914"
"153600","22.48332977294922","22.48332977294922","22.48332977294922","24.36138153076172","24.36138153076172","24.36138153076172","28.8629150390625","28.8629150390625","28.8629150390625"
"204800","27.499074935913086","27.499074935913086","27.499074935913086","18.426128387451172","18.426128387451172","18.426128387451172","20.37322998046875","20.37322998046875","20.37322998046875"
"256000","21.334123611450195","21.334123611450195","21.334123611450195","22.54056167602539","22.54056167602539","22.54056167602539","22.22515869140625","22.22515869140625","22.22515869140625"
"307200","21.606136322021484","21.606136322021484","21.606136322021484","28.437606811523438","28.437606811523438","28.437606811523438","21.30669403076172","21.30669403076172","21.30669403076172"
"358400","23.002721786499023","23.002721786499023","23.002721786499023","22.6075382232666","22.6075382232666","22.6075382232666","24.267162322998047","24.267162322998047","24.267162322998047"
"409600","22.319459915161133","22.319459915161133","22.319459915161133","22.576303482055664","22.576303482055664","22.576303482055664","21.16191291809082","21.16191291809082","21.16191291809082"
"460800","21.68010139465332","21.68010139465332","21.68010139465332","19.746253967285156","19.746253967285156","19.746253967285156","21.682003021240234","21.682003021240234","21.682003021240234"
"512000","23.02943229675293","23.02943229675293","23.02943229675293","22.644115447998047","22.644115447998047","22.644115447998047","21.226543426513672","21.226543426513672","21.226543426513672"
"563200","18.935136795043945","18.935136795043945","18.935136795043945","22.35280990600586","22.35280990600586","22.35280990600586","22.157936096191406","22.157936096191406","22.157936096191406"
"614400","20.43840217590332","20.43840217590332","20.43840217590332","22.3525390625","22.3525390625","22.3525390625","21.759017944335938","21.759017944335938","21.759017944335938"
"665600","23.475162506103516","23.475162506103516","23.475162506103516","23.214990615844727","23.214990615844727","23.214990615844727","21.734426498413086","21.734426498413086","21.734426498413086"
"716800","19.382184982299805","19.382184982299805","19.382184982299805","24.076650619506836","24.076650619506836","24.076650619506836","21.733505249023438","21.733505249023438","21.733505249023438"
"768000","22.678390502929688","22.678390502929688","22.678390502929688","20.873918533325195","20.873918533325195","20.873918533325195","22.023962020874023","22.023962020874023","22.023962020874023"
"819200","21.815675735473633","21.815675735473633","21.815675735473633","21.353403091430664","21.353403091430664","21.353403091430664","23.83514404296875","23.83514404296875","23.83514404296875"
"870400","21.15866470336914","21.15866470336914","21.15866470336914","21.76400375366211","21.76400375366211","21.76400375366211","22.367273330688477","22.367273330688477","22.367273330688477"
"921600","22.518903732299805","22.518903732299805","22.518903732299805","23.843475341796875","23.843475341796875","23.843475341796875","21.367938995361328","21.367938995361328","21.367938995361328"
"972800","23.54294204711914","23.54294204711914","23.54294204711914","20.340641021728516","20.340641021728516","20.340641021728516","22.294384002685547","22.294384002685547","22.294384002685547"
"1024000","22.09145736694336","22.09145736694336","22.09145736694336","22.12834358215332","22.12834358215332","22.12834358215332","21.439369201660156","21.439369201660156","21.439369201660156"
"1075200","22.697111129760742","22.697111129760742","22.697111129760742","21.217897415161133","21.217897415161133","21.217897415161133","21.6069278717041","21.6069278717041","21.6069278717041"
"1126400","23.189857482910156","23.189857482910156","23.189857482910156","21.535741806030273","21.535741806030273","21.535741806030273","20.758424758911133","20.758424758911133","20.758424758911133"
"1177600","23.37172508239746","23.37172508239746","23.37172508239746","21.709890365600586","21.709890365600586","21.709890365600586","21.352209091186523","21.352209091186523","21.352209091186523"
"1228800","24.89771842956543","24.89771842956543","24.89771842956543","22.23210906982422","22.23210906982422","22.23210906982422","21.100631713867188","21.100631713867188","21.100631713867188"
"1280000","25.516950607299805","25.516950607299805","25.516950607299805","22.307636260986328","22.307636260986328","22.307636260986328","21.98061180114746","21.98061180114746","21.98061180114746"
"1331200","23.55251693725586","23.55251693725586","23.55251693725586","22.30052947998047","22.30052947998047","22.30052947998047","21.31667709350586","21.31667709350586","21.31667709350586"
"1382400","22.329301834106445","22.329301834106445","22.329301834106445","22.90798568725586","22.90798568725586","22.90798568725586","21.097867965698242","21.097867965698242","21.097867965698242"
"1433600","22.500301361083984","22.500301361083984","22.500301361083984","21.88582420349121","21.88582420349121","21.88582420349121","22.880868911743164","22.880868911743164","22.880868911743164"
"1484800","21.753292083740234","21.753292083740234","21.753292083740234","22.944677352905273","22.944677352905273","22.944677352905273","22.185665130615234","22.185665130615234","22.185665130615234"
"1536000","21.573415756225586","21.573415756225586","21.573415756225586","21.467618942260742","21.467618942260742","21.467618942260742","23.799646377563477","23.799646377563477","23.799646377563477"
"1587200","25.533056259155273","25.533056259155273","25.533056259155273","23.74637222290039","23.74637222290039","23.74637222290039","20.960002899169922","20.960002899169922","20.960002899169922"
"1638400","25.177473068237305","25.177473068237305","25.177473068237305","20.985530853271484","20.985530853271484","20.985530853271484","21.043975830078125","21.043975830078125","21.043975830078125"
"1689600","25.323802947998047","25.323802947998047","25.323802947998047","21.764944076538086","21.764944076538086","21.764944076538086","22.81043243408203","22.81043243408203","22.81043243408203"
"1740800","27.96401023864746","27.96401023864746","27.96401023864746","21.765443801879883","21.765443801879883","21.765443801879883","21.417490005493164","21.417490005493164","21.417490005493164"
"1792000","24.10359001159668","24.10359001159668","24.10359001159668","21.03554916381836","21.03554916381836","21.03554916381836","21.04021453857422","21.04021453857422","21.04021453857422"
"1843200","22.606674194335938","22.606674194335938","22.606674194335938","21.819589614868164","21.819589614868164","21.819589614868164","20.71204376220703","20.71204376220703","20.71204376220703"
"1894400","21.366910934448242","21.366910934448242","21.366910934448242","25.77054786682129","25.77054786682129","25.77054786682129","26.319469451904297","26.319469451904297","26.319469451904297"
"1945600","23.01531982421875","23.01531982421875","23.01531982421875","22.803659439086914","22.803659439086914","22.803659439086914","24.92081069946289","24.92081069946289","24.92081069946289"
"1996800","24.770421981811523","24.770421981811523","24.770421981811523","23.47921371459961","23.47921371459961","23.47921371459961","24.368236541748047","24.368236541748047","24.368236541748047"
"2048000","27.23222541809082","27.23222541809082","27.23222541809082","23.119165420532227","23.119165420532227","23.119165420532227","22.748233795166016","22.748233795166016","22.748233795166016"
"2099200","23.935848236083984","23.935848236083984","23.935848236083984","23.62786865234375","23.62786865234375","23.62786865234375","22.692916870117188","22.692916870117188","22.692916870117188"
"2150400","24.16910171508789","24.16910171508789","24.16910171508789","28.331676483154297","28.331676483154297","28.331676483154297","25.627321243286133","25.627321243286133","25.627321243286133"
"2201600","23.40226936340332","23.40226936340332","23.40226936340332","27.18950080871582","27.18950080871582","27.18950080871582","24.22368812561035","24.22368812561035","24.22368812561035"
"2252800","23.590816497802734","23.590816497802734","23.590816497802734","21.919015884399414","21.919015884399414","21.919015884399414","24.715723037719727","24.715723037719727","24.715723037719727"
"2304000","22.95145606994629","22.95145606994629","22.95145606994629","25.30004119873047","25.30004119873047","25.30004119873047","24.41618537902832","24.41618537902832","24.41618537902832"
"2355200","24.290834426879883","24.290834426879883","24.290834426879883","28.759361267089844","28.759361267089844","28.759361267089844","25.234569549560547","25.234569549560547","25.234569549560547"
"2406400","24.311384201049805","24.311384201049805","24.311384201049805","24.259958267211914","24.259958267211914","24.259958267211914","22.82741928100586","22.82741928100586","22.82741928100586"
"2457600","22.93407440185547","22.93407440185547","22.93407440185547","26.679344177246094","26.679344177246094","26.679344177246094","25.443960189819336","25.443960189819336","25.443960189819336"
"2508800","23.69924545288086","23.69924545288086","23.69924545288086","21.65767478942871","21.65767478942871","21.65767478942871","23.693981170654297","23.693981170654297","23.693981170654297"
"2560000","22.16401481628418","22.16401481628418","22.16401481628418","23.825037002563477","23.825037002563477","23.825037002563477","22.495101928710938","22.495101928710938","22.495101928710938"
"2611200","24.25111961364746","24.25111961364746","24.25111961364746","23.1002140045166","23.1002140045166","23.1002140045166","23.46269416809082","23.46269416809082","23.46269416809082"
"2662400","23.512723922729492","23.512723922729492","23.512723922729492","25.04892349243164","25.04892349243164","25.04892349243164","23.345426559448242","23.345426559448242","23.345426559448242"
"2713600","28.953649520874023","28.953649520874023","28.953649520874023","24.55419158935547","24.55419158935547","24.55419158935547","23.690885543823242","23.690885543823242","23.690885543823242"
"2764800","24.31438636779785","24.31438636779785","24.31438636779785","28.357606887817383","28.357606887817383","28.357606887817383","21.602136611938477","21.602136611938477","21.602136611938477"
"2816000","24.48552131652832","24.48552131652832","24.48552131652832","28.679542541503906","28.679542541503906","28.679542541503906","21.80949592590332","21.80949592590332","21.80949592590332"
"2867200","24.06674575805664","24.06674575805664","24.06674575805664","27.52412223815918","27.52412223815918","27.52412223815918","23.025827407836914","23.025827407836914","23.025827407836914"
"2918400","25.45536994934082","25.45536994934082","25.45536994934082","25.767656326293945","25.767656326293945","25.767656326293945","23.908647537231445","23.908647537231445","23.908647537231445"
"2969600","25.567068099975586","25.567068099975586","25.567068099975586","27.012889862060547","27.012889862060547","27.012889862060547","25.95531463623047","25.95531463623047","25.95531463623047"
"3020800","27.326894760131836","27.326894760131836","27.326894760131836","30.776744842529297","30.776744842529297","30.776744842529297","28.83380126953125","28.83380126953125","28.83380126953125"
"3072000","28.13070297241211","28.13070297241211","28.13070297241211","30.58791732788086","30.58791732788086","30.58791732788086","27.547094345092773","27.547094345092773","27.547094345092773"
"3123200","25.32581329345703","25.32581329345703","25.32581329345703","26.606231689453125","26.606231689453125","26.606231689453125","28.261232376098633","28.261232376098633","28.261232376098633"
"3174400","28.496870040893555","28.496870040893555","28.496870040893555","31.744291305541992","31.744291305541992","31.744291305541992","29.12691879272461","29.12691879272461","29.12691879272461"
"3225600","28.359106063842773","28.359106063842773","28.359106063842773","28.78127098083496","28.78127098083496","28.78127098083496","28.813888549804688","28.813888549804688","28.813888549804688"
"3276800","27.90729522705078","27.90729522705078","27.90729522705078","29.968751907348633","29.968751907348633","29.968751907348633","27.869230270385742","27.869230270385742","27.869230270385742"
"3328000","26.264076232910156","26.264076232910156","26.264076232910156","31.014450073242188","31.014450073242188","31.014450073242188","30.227270126342773","30.227270126342773","30.227270126342773"
"3379200","24.817636489868164","24.817636489868164","24.817636489868164","31.285682678222656","31.285682678222656","31.285682678222656","30.69502067565918","30.69502067565918","30.69502067565918"
"3430400","22.538105010986328","22.538105010986328","22.538105010986328","31.392080307006836","31.392080307006836","31.392080307006836","29.58504867553711","29.58504867553711","29.58504867553711"
"3481600","25.80632781982422","25.80632781982422","25.80632781982422","31.691808700561523","31.691808700561523","31.691808700561523","31.225759506225586","31.225759506225586","31.225759506225586"
"3532800","24.876544952392578","24.876544952392578","24.876544952392578","31.545915603637695","31.545915603637695","31.545915603637695","31.692073822021484","31.692073822021484","31.692073822021484"
"3584000","27.498363494873047","27.498363494873047","27.498363494873047","39.55970001220703","39.55970001220703","39.55970001220703","33.69032287597656","33.69032287597656","33.69032287597656"
"3635200","25.715850830078125","25.715850830078125","25.715850830078125","42.57895278930664","42.57895278930664","42.57895278930664","32.62972640991211","32.62972640991211","32.62972640991211"
"3686400","23.453229904174805","23.453229904174805","23.453229904174805","64.85437774658203","64.85437774658203","64.85437774658203","29.918380737304688","29.918380737304688","29.918380737304688"
"3737600","26.20608901977539","26.20608901977539","26.20608901977539","96.41993713378906","96.41993713378906","96.41993713378906","34.368927001953125","34.368927001953125","34.368927001953125"
"3788800","28.312150955200195","28.312150955200195","28.312150955200195","83.53947448730469","83.53947448730469","83.53947448730469","30.578651428222656","30.578651428222656","30.578651428222656"
"3840000","27.069974899291992","27.069974899291992","27.069974899291992","92.21416473388672","92.21416473388672","92.21416473388672","31.678329467773438","31.678329467773438","31.678329467773438"
