"Step","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/50000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/50000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/50000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/250000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/250000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/250000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/100000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/100000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/hopper-stand/7/default/models/100000.pt - pretrain/episode_reward__MAX"
"0","1.6123311678568524","1.2761723160743714","2.085720902681351","1.8999889910221102","1.1658562183380128","3.249076616764069","1.480565259853999","1.2746865928173066","1.6912611305713654"
"2500","5.717723057667414","1.4992115259170533","13.588998168706894","3.6097761193911233","1.0912624955177308","8.147601747512818","3.8804374217987063","0.9207929193973541","9.656141149997712"
"5000","7.603472795089086","5.424383109807968","11.16965788602829","7.886611181497574","4.907352775335312","12.752318698167802","8.38908357421557","5.184948563575745","13.679739600419998"
"7500","3.6398598909378053","3.0276320934295655","4.446246564388275","2.7016473571459447","1.2214228332042694","3.5232285022735597","3.810145076115926","1.8678006172180175","6.828658300638199"
"10000","16.546118825674057","2.11630522608757","42.87279021143913","66.96259692509969","4.290199494361877","108.78816123008728","21.52151156862577","14.814822906255722","30.513669526576997"
"12500","10.657949487368265","6.958117556571961","15.681258237361908","50.38854821125667","17.742260932922363","105.56920450925827","22.502947888771697","5.580441725254059","52.781930601596834"
"15000","55.96064632932345","39.50244209766388","65.11576163172722","87.4278975347678","81.04457333683968","95.87918186187744","88.0827949265639","48.38156245946884","129.01568326354027"
"17500","20.532127249240876","1.2582874715328216","31.165633350610733","12.26152391433716","9.324804818630218","15.96034084558487","23.96760579943657","4.271372407674789","53.25704165101051"
"20000","23.900198354323706","17.318886053562164","36.444946736097336","65.70304135084153","34.09084393382072","110.32121717333794","33.082815106709795","24.120648437738417","50.64276654720307"
"22500","48.40288094679514","38.029714447259906","66.9312399327755","36.9046893298626","12.286413758993149","72.19384928941727","56.728337482611344","28.876651734113693","86.44095989465714"
