"global_step","honest-sweep-20 - _step","honest-sweep-20 - _step__MIN","honest-sweep-20 - _step__MAX","honest-sweep-20 - rewards/step","honest-sweep-20 - rewards/step__MIN","honest-sweep-20 - rewards/step__MAX","upbeat-sweep-19 - _step","upbeat-sweep-19 - _step__MIN","upbeat-sweep-19 - _step__MAX","upbeat-sweep-19 - rewards/step","upbeat-sweep-19 - rewards/step__MIN","upbeat-sweep-19 - rewards/step__MAX","easy-sweep-13 - _step","easy-sweep-13 - _step__MIN","easy-sweep-13 - _step__MAX","easy-sweep-13 - rewards/step","easy-sweep-13 - rewards/step__MIN","easy-sweep-13 - rewards/step__MAX","helpful-sweep-9 - _step","helpful-sweep-9 - _step__MIN","helpful-sweep-9 - _step__MAX","helpful-sweep-9 - rewards/step","helpful-sweep-9 - rewards/step__MIN","helpful-sweep-9 - rewards/step__MAX","serene-sweep-7 - _step","serene-sweep-7 - _step__MIN","serene-sweep-7 - _step__MAX","serene-sweep-7 - rewards/step","serene-sweep-7 - rewards/step__MIN","serene-sweep-7 - rewards/step__MAX"
"3932160","49","49","49","2550.106201171875","2550.106201171875","2550.106201171875","49","49","49","2425.81396484375","2425.81396484375","2425.81396484375","49","49","49","1512.0621337890625","1512.0621337890625","1512.0621337890625","49","49","49","2045.1478271484375","2045.1478271484375","2045.1478271484375","49","49","49","2450.877197265625","2450.877197265625","2450.877197265625"
"4177920","52","52","52","2561.23486328125","2561.23486328125","2561.23486328125","52","52","52","2472.487548828125","2472.487548828125","2472.487548828125","52","52","52","1909.27734375","1909.27734375","1909.27734375","52","52","52","2449.776123046875","2449.776123046875","2449.776123046875","52","52","52","2444.83935546875","2444.83935546875","2444.83935546875"
"4423680","55","55","55","2499.923095703125","2499.923095703125","2499.923095703125","55","55","55","2471.826904296875","2471.826904296875","2471.826904296875","55","55","55","1978.7840576171875","1978.7840576171875","1978.7840576171875","55","55","55","2564.81689453125","2564.81689453125","2564.81689453125","55","55","55","2512.001953125","2512.001953125","2512.001953125"
"4669440","58","58","58","2741.170654296875","2741.170654296875","2741.170654296875","58","58","58","2606.759765625","2606.759765625","2606.759765625","58","58","58","1896.0108642578125","1896.0108642578125","1896.0108642578125","58","58","58","2536.19873046875","2536.19873046875","2536.19873046875","58","58","58","2831.58935546875","2831.58935546875","2831.58935546875"
"4915200","61","61","61","2855.072509765625","2855.072509765625","2855.072509765625","61","61","61","2939.15185546875","2939.15185546875","2939.15185546875","61","61","61","2071.760498046875","2071.760498046875","2071.760498046875","61","61","61","2639.149658203125","2639.149658203125","2639.149658203125","61","61","61","2937.264404296875","2937.264404296875","2937.264404296875"
"5160960","64","64","64","2845.407470703125","2845.407470703125","2845.407470703125","64","64","64","3009.436767578125","3009.436767578125","3009.436767578125","64","64","64","2259.079345703125","2259.079345703125","2259.079345703125","64","64","64","2884.8525390625","2884.8525390625","2884.8525390625","64","64","64","2984.98779296875","2984.98779296875","2984.98779296875"
"5406720","67","67","67","2856.698974609375","2856.698974609375","2856.698974609375","67","67","67","2997.828125","2997.828125","2997.828125","67","67","67","2331.360595703125","2331.360595703125","2331.360595703125","67","67","67","2980.477783203125","2980.477783203125","2980.477783203125","67","67","67","2973.708740234375","2973.708740234375","2973.708740234375"
"5652480","70","70","70","3044.3974609375","3044.3974609375","3044.3974609375","70","70","70","3013.458740234375","3013.458740234375","3013.458740234375","70","70","70","2326.5029296875","2326.5029296875","2326.5029296875","70","70","70","3005.522705078125","3005.522705078125","3005.522705078125","70","70","70","3231.683349609375","3231.683349609375","3231.683349609375"
"5898240","73","73","73","3119.146240234375","3119.146240234375","3119.146240234375","73","73","73","3166.0625","3166.0625","3166.0625","73","73","73","2362.4892578125","2362.4892578125","2362.4892578125","73","73","73","2970.570556640625","2970.570556640625","2970.570556640625","73","73","73","3293.581787109375","3293.581787109375","3293.581787109375"
"6144000","76","76","76","3171.204345703125","3171.204345703125","3171.204345703125","76","76","76","3268.04931640625","3268.04931640625","3268.04931640625","76","76","76","2410.34521484375","2410.34521484375","2410.34521484375","76","76","76","3143.33837890625","3143.33837890625","3143.33837890625","76","76","76","3349.730224609375","3349.730224609375","3349.730224609375"
"6389760","79","79","79","3145.244384765625","3145.244384765625","3145.244384765625","79","79","79","3273.9755859375","3273.9755859375","3273.9755859375","79","79","79","2455.21728515625","2455.21728515625","2455.21728515625","79","79","79","3225.68701171875","3225.68701171875","3225.68701171875","79","79","79","3295.989013671875","3295.989013671875","3295.989013671875"
"6635520","82","82","82","3206.8017578125","3206.8017578125","3206.8017578125","82","82","82","3354.99658203125","3354.99658203125","3354.99658203125","82","82","82","2468.63623046875","2468.63623046875","2468.63623046875","82","82","82","3268.125244140625","3268.125244140625","3268.125244140625","82","82","82","3362.8134765625","3362.8134765625","3362.8134765625"
"6881280","85","85","85","3275.544921875","3275.544921875","3275.544921875","85","85","85","3485.885009765625","3485.885009765625","3485.885009765625","85","85","85","2453.072509765625","2453.072509765625","2453.072509765625","85","85","85","3255.878662109375","3255.878662109375","3255.878662109375","85","85","85","3442.2060546875","3442.2060546875","3442.2060546875"
"7127040","88","88","88","3270.99267578125","3270.99267578125","3270.99267578125","88","88","88","3542.415771484375","3542.415771484375","3542.415771484375","88","88","88","2457.934326171875","2457.934326171875","2457.934326171875","88","88","88","3437.868408203125","3437.868408203125","3437.868408203125","88","88","88","3448.2392578125","3448.2392578125","3448.2392578125"
"7372800","91","91","91","3285.78125","3285.78125","3285.78125","91","91","91","3557.84814453125","3557.84814453125","3557.84814453125","91","91","91","2499.232666015625","2499.232666015625","2499.232666015625","91","91","91","3420.452392578125","3420.452392578125","3420.452392578125","91","91","91","3422.364013671875","3422.364013671875","3422.364013671875"
"7618560","94","94","94","3343.1884765625","3343.1884765625","3343.1884765625","94","94","94","3561.799560546875","3561.799560546875","3561.799560546875","94","94","94","2495.8271484375","2495.8271484375","2495.8271484375","94","94","94","3416.213623046875","3416.213623046875","3416.213623046875","94","94","94","3475.868896484375","3475.868896484375","3475.868896484375"
"7864320","97","97","97","3397.05859375","3397.05859375","3397.05859375","97","97","97","3637.49658203125","3637.49658203125","3637.49658203125","97","97","97","2493.5859375","2493.5859375","2493.5859375","97","97","97","3307.26806640625","3307.26806640625","3307.26806640625","97","97","97","3610.00732421875","3610.00732421875","3610.00732421875"
"8110080","100","100","100","3408.1708984375","3408.1708984375","3408.1708984375","100","100","100","3654.90234375","3654.90234375","3654.90234375","100","100","100","2565.37109375","2565.37109375","2565.37109375","100","100","100","3411.25732421875","3411.25732421875","3411.25732421875","100","100","100","3589.11279296875","3589.11279296875","3589.11279296875"
"8355840","103","103","103","3379.6064453125","3379.6064453125","3379.6064453125","103","103","103","3537.64501953125","3537.64501953125","3537.64501953125","103","103","103","2542.53173828125","2542.53173828125","2542.53173828125","103","103","103","3529.998779296875","3529.998779296875","3529.998779296875","103","103","103","3556.951904296875","3556.951904296875","3556.951904296875"
"8601600","106","106","106","3407.8095703125","3407.8095703125","3407.8095703125","106","106","106","3636.63330078125","3636.63330078125","3636.63330078125","106","106","106","2576.580322265625","2576.580322265625","2576.580322265625","106","106","106","3532.146240234375","3532.146240234375","3532.146240234375","106","106","106","3510.639892578125","3510.639892578125","3510.639892578125"
"8847360","109","109","109","3479.27783203125","3479.27783203125","3479.27783203125","109","109","109","3698.781494140625","3698.781494140625","3698.781494140625","109","109","109","2526.142822265625","2526.142822265625","2526.142822265625","109","109","109","3615.468994140625","3615.468994140625","3615.468994140625","109","109","109","3646.1728515625","3646.1728515625","3646.1728515625"
"9093120","112","112","112","3480.734375","3480.734375","3480.734375","112","112","112","3744.213134765625","3744.213134765625","3744.213134765625","112","112","112","2624.975830078125","2624.975830078125","2624.975830078125","112","112","112","3616.28466796875","3616.28466796875","3616.28466796875","112","112","112","3691.378662109375","3691.378662109375","3691.378662109375"
"9338880","115","115","115","3491.13671875","3491.13671875","3491.13671875","115","115","115","3787.053955078125","3787.053955078125","3787.053955078125","115","115","115","2648.874267578125","2648.874267578125","2648.874267578125","115","115","115","3705.990478515625","3705.990478515625","3705.990478515625","115","115","115","3711.885009765625","3711.885009765625","3711.885009765625"
"9584640","118","118","118","3526.8583984375","3526.8583984375","3526.8583984375","118","118","118","3755.460205078125","3755.460205078125","3755.460205078125","118","118","118","2644.52490234375","2644.52490234375","2644.52490234375","118","118","118","3702.2158203125","3702.2158203125","3702.2158203125","118","118","118","3736.152099609375","3736.152099609375","3736.152099609375"
"9830400","121","121","121","3586.598876953125","3586.598876953125","3586.598876953125","121","121","121","3774.435791015625","3774.435791015625","3774.435791015625","121","121","121","2614.646240234375","2614.646240234375","2614.646240234375","121","121","121","3758.422607421875","3758.422607421875","3758.422607421875","121","121","121","3774.326416015625","3774.326416015625","3774.326416015625"
