"Step","FOWM_AntEnv_sweep_4 - rewards","FOWM_AntEnv_sweep_4 - rewards__MIN","FOWM_AntEnv_sweep_4 - rewards__MAX","FOWM_AntEnv_sweep_2 - rewards","FOWM_AntEnv_sweep_2 - rewards__MIN","FOWM_AntEnv_sweep_2 - rewards__MAX","FOWM_AntEnv_sweep_3 - rewards","FOWM_AntEnv_sweep_3 - rewards__MIN","FOWM_AntEnv_sweep_3 - rewards__MAX","FOWM_AntEnv_sweep_1 - rewards","FOWM_AntEnv_sweep_1 - rewards__MIN","FOWM_AntEnv_sweep_1 - rewards__MAX","FOWM_AntEnv_sweep_0 - rewards","FOWM_AntEnv_sweep_0 - rewards__MIN","FOWM_AntEnv_sweep_0 - rewards__MAX"
"102400","367.9069519042969","367.9069519042969","367.9069519042969","38.87089157104492","38.87089157104492","38.87089157104492","42.80256271362305","42.80256271362305","42.80256271362305","32.23583221435547","32.23583221435547","32.23583221435547","219.5925750732422","219.5925750732422","219.5925750732422"
"153600","43.17017364501953","43.17017364501953","43.17017364501953","33.488258361816406","33.488258361816406","33.488258361816406","29.47157096862793","29.47157096862793","29.47157096862793","39.53569030761719","39.53569030761719","39.53569030761719","50.88212966918945","50.88212966918945","50.88212966918945"
"204800","34.20488357543945","34.20488357543945","34.20488357543945","33.458980560302734","33.458980560302734","33.458980560302734","33.86552047729492","33.86552047729492","33.86552047729492","31.229095458984375","31.229095458984375","31.229095458984375","27.39228057861328","27.39228057861328","27.39228057861328"
"256000","35.90179443359375","35.90179443359375","35.90179443359375","36.478973388671875","36.478973388671875","36.478973388671875","31.103187561035156","31.103187561035156","31.103187561035156","33.195552825927734","33.195552825927734","33.195552825927734","27.233245849609375","27.233245849609375","27.233245849609375"
"307200","31.78946304321289","31.78946304321289","31.78946304321289","37.318359375","37.318359375","37.318359375","27.28253173828125","27.28253173828125","27.28253173828125","32.06057357788086","32.06057357788086","32.06057357788086","27.217275619506836","27.217275619506836","27.217275619506836"
"358400","35.20389938354492","35.20389938354492","35.20389938354492","32.794921875","32.794921875","32.794921875","31.055814743041992","31.055814743041992","31.055814743041992","33.57417297363281","33.57417297363281","33.57417297363281","27.36943817138672","27.36943817138672","27.36943817138672"
"409600","33.77689743041992","33.77689743041992","33.77689743041992","33.35089111328125","33.35089111328125","33.35089111328125","31.171884536743164","31.171884536743164","31.171884536743164","33.728355407714844","33.728355407714844","33.728355407714844","27.37148666381836","27.37148666381836","27.37148666381836"
"460800","37.55133819580078","37.55133819580078","37.55133819580078","31.351999282836914","31.351999282836914","31.351999282836914","32.38966369628906","32.38966369628906","32.38966369628906","34.9354248046875","34.9354248046875","34.9354248046875","27.525108337402344","27.525108337402344","27.525108337402344"
"512000","36.63819122314453","36.63819122314453","36.63819122314453","36.33393096923828","36.33393096923828","36.33393096923828","30.699607849121094","30.699607849121094","30.699607849121094","36.46122360229492","36.46122360229492","36.46122360229492","28.08287811279297","28.08287811279297","28.08287811279297"
"563200","36.33574295043945","36.33574295043945","36.33574295043945","33.80563735961914","33.80563735961914","33.80563735961914","34.69279861450195","34.69279861450195","34.69279861450195","34.52336120605469","34.52336120605469","34.52336120605469","27.772018432617188","27.772018432617188","27.772018432617188"
"614400","35.235164642333984","35.235164642333984","35.235164642333984","36.83823013305664","36.83823013305664","36.83823013305664","35.045745849609375","35.045745849609375","35.045745849609375","36.56162643432617","36.56162643432617","36.56162643432617","27.31201934814453","27.31201934814453","27.31201934814453"
"665600","35.607505798339844","35.607505798339844","35.607505798339844","40.23163604736328","40.23163604736328","40.23163604736328","36.13916778564453","36.13916778564453","36.13916778564453","38.87153244018555","38.87153244018555","38.87153244018555","26.957061767578125","26.957061767578125","26.957061767578125"
"716800","35.31495666503906","35.31495666503906","35.31495666503906","53.47081756591797","53.47081756591797","53.47081756591797","37.028255462646484","37.028255462646484","37.028255462646484","34.25873565673828","34.25873565673828","34.25873565673828","28.777462005615234","28.777462005615234","28.777462005615234"
"768000","36.133750915527344","36.133750915527344","36.133750915527344","31.86952781677246","31.86952781677246","31.86952781677246","40.48799514770508","40.48799514770508","40.48799514770508","34.25518798828125","34.25518798828125","34.25518798828125","28.343847274780273","28.343847274780273","28.343847274780273"
"819200","35.62443923950195","35.62443923950195","35.62443923950195","49.83257293701172","49.83257293701172","49.83257293701172","40.23044967651367","40.23044967651367","40.23044967651367","35.9029426574707","35.9029426574707","35.9029426574707","26.68577766418457","26.68577766418457","26.68577766418457"
"870400","35.13393020629883","35.13393020629883","35.13393020629883","55.89521408081055","55.89521408081055","55.89521408081055","38.23070526123047","38.23070526123047","38.23070526123047","35.86000061035156","35.86000061035156","35.86000061035156","27.856203079223633","27.856203079223633","27.856203079223633"
"921600","37.30134582519531","37.30134582519531","37.30134582519531","36.66297149658203","36.66297149658203","36.66297149658203","37.23675537109375","37.23675537109375","37.23675537109375","35.41006851196289","35.41006851196289","35.41006851196289","27.518043518066406","27.518043518066406","27.518043518066406"
"972800","35.81342315673828","35.81342315673828","35.81342315673828","52.11445617675781","52.11445617675781","52.11445617675781","34.77305221557617","34.77305221557617","34.77305221557617","36.77574157714844","36.77574157714844","36.77574157714844","33.60896301269531","33.60896301269531","33.60896301269531"
"1024000","37.27803039550781","37.27803039550781","37.27803039550781","48.316585540771484","48.316585540771484","48.316585540771484","48.55120849609375","48.55120849609375","48.55120849609375","39.43918228149414","39.43918228149414","39.43918228149414","32.831275939941406","32.831275939941406","32.831275939941406"
"1075200","38.68013381958008","38.68013381958008","38.68013381958008","49.00352478027344","49.00352478027344","49.00352478027344","38.29841613769531","38.29841613769531","38.29841613769531","37.38902282714844","37.38902282714844","37.38902282714844","36.08938217163086","36.08938217163086","36.08938217163086"
"1126400","39.11476135253906","39.11476135253906","39.11476135253906","47.916194915771484","47.916194915771484","47.916194915771484","38.93017578125","38.93017578125","38.93017578125","39.96201705932617","39.96201705932617","39.96201705932617","32.21744918823242","32.21744918823242","32.21744918823242"
