"Step","dflex_anymal_4 - train_return","dflex_anymal_4 - train_return__MIN","dflex_anymal_4 - train_return__MAX","dflex_anymal_3 - train_return","dflex_anymal_3 - train_return__MIN","dflex_anymal_3 - train_return__MAX","dflex_anymal_2 - train_return","dflex_anymal_2 - train_return__MIN","dflex_anymal_2 - train_return__MAX","dflex_anymal_1 - train_return","dflex_anymal_1 - train_return__MIN","dflex_anymal_1 - train_return__MAX","dflex_anymal_0 - train_return","dflex_anymal_0 - train_return__MIN","dflex_anymal_0 - train_return__MAX"
"0","35.128639221191406","35.128639221191406","35.128639221191406","43.24989700317383","43.24989700317383","43.24989700317383","","","","32.708248138427734","32.708248138427734","32.708248138427734","38.23744583129883","38.23744583129883","38.23744583129883"
"8328","27.434959411621094","27.434959411621094","27.434959411621094","","","","34.119049072265625","34.119049072265625","34.119049072265625","","","","36.99045181274414","36.99045181274414","36.99045181274414"
"8584","23.537841796875","23.537841796875","23.537841796875","39.692501068115234","39.692501068115234","39.692501068115234","","","","","","","29.216781616210938","29.216781616210938","29.216781616210938"
"8840","22.164772033691406","22.164772033691406","22.164772033691406","25.26668930053711","25.26668930053711","25.26668930053711","23.95339584350586","23.95339584350586","23.95339584350586","","","","23.947826385498047","23.947826385498047","23.947826385498047"
"9096","","","","22.45140266418457","22.45140266418457","22.45140266418457","20.983503341674805","20.983503341674805","20.983503341674805","","","","22.341388702392578","22.341388702392578","22.341388702392578"
"9352","22.71034049987793","22.71034049987793","22.71034049987793","21.83407211303711","21.83407211303711","21.83407211303711","20.810840606689453","20.810840606689453","20.810840606689453","29.14263916015625","29.14263916015625","29.14263916015625","21.646957397460938","21.646957397460938","21.646957397460938"
"9608","","","","21.980314254760742","21.980314254760742","21.980314254760742","20.926225662231445","20.926225662231445","20.926225662231445","25.837963104248047","25.837963104248047","25.837963104248047","21.602558135986328","21.602558135986328","21.602558135986328"
"9864","","","","21.84041976928711","21.84041976928711","21.84041976928711","20.921701431274414","20.921701431274414","20.921701431274414","25.08418846130371","25.08418846130371","25.08418846130371","21.64847183227539","21.64847183227539","21.64847183227539"
"10120","22.89103126525879","22.89103126525879","22.89103126525879","21.69137191772461","21.69137191772461","21.69137191772461","21.19556999206543","21.19556999206543","21.19556999206543","24.0523624420166","24.0523624420166","24.0523624420166","21.614009857177734","21.614009857177734","21.614009857177734"
"10376","22.90317726135254","22.90317726135254","22.90317726135254","21.799482345581055","21.799482345581055","21.799482345581055","21.31195831298828","21.31195831298828","21.31195831298828","23.881128311157227","23.881128311157227","23.881128311157227","21.592975616455078","21.592975616455078","21.592975616455078"
"10632","","","","","","","21.35745620727539","21.35745620727539","21.35745620727539","23.884103775024414","23.884103775024414","23.884103775024414","21.610538482666016","21.610538482666016","21.610538482666016"
"10888","","","","21.971996307373047","21.971996307373047","21.971996307373047","21.400043487548828","21.400043487548828","21.400043487548828","23.818401336669922","23.818401336669922","23.818401336669922","21.57091522216797","21.57091522216797","21.57091522216797"
"11144","","","","21.97669219970703","21.97669219970703","21.97669219970703","21.513671875","21.513671875","21.513671875","23.948942184448242","23.948942184448242","23.948942184448242","21.55640411376953","21.55640411376953","21.55640411376953"
"11400","","","","22.044313430786133","22.044313430786133","22.044313430786133","21.645267486572266","21.645267486572266","21.645267486572266","23.861656188964844","23.861656188964844","23.861656188964844","","",""
"11656","","","","22.028642654418945","22.028642654418945","22.028642654418945","21.738937377929688","21.738937377929688","21.738937377929688","24.00658416748047","24.00658416748047","24.00658416748047","","",""
"11912","22.75388526916504","22.75388526916504","22.75388526916504","","","","","","","23.90369415283203","23.90369415283203","23.90369415283203","","",""
"12168","22.703481674194336","22.703481674194336","22.703481674194336","22.029743194580078","22.029743194580078","22.029743194580078","","","","23.905805587768555","23.905805587768555","23.905805587768555","","",""
"12424","22.68087387084961","22.68087387084961","22.68087387084961","","","","","","","23.950592041015625","23.950592041015625","23.950592041015625","21.635160446166992","21.635160446166992","21.635160446166992"
"12680","","","","21.97304916381836","21.97304916381836","21.97304916381836","21.650232315063477","21.650232315063477","21.650232315063477","24.178661346435547","24.178661346435547","24.178661346435547","","",""
"12936","22.701690673828125","22.701690673828125","22.701690673828125","21.879413604736328","21.879413604736328","21.879413604736328","21.20270538330078","21.20270538330078","21.20270538330078","24.205101013183594","24.205101013183594","24.205101013183594","21.535778045654297","21.535778045654297","21.535778045654297"
