Step,FOWM_HopperEnv_sweep_4 - rewards,FOWM_HopperEnv_sweep_4 - rewards__MIN,FOWM_HopperEnv_sweep_4 - rewards__MAX,FOWM_HopperEnv_sweep_3 - rewards,FOWM_HopperEnv_sweep_3 - rewards__MIN,FOWM_HopperEnv_sweep_3 - rewards__MAX,FOWM_HopperEnv_sweep_2 - rewards,FOWM_HopperEnv_sweep_2 - rewards__MIN,FOWM_HopperEnv_sweep_2 - rewards__MAX,FOWM_HopperEnv_sweep_1 - rewards,FOWM_HopperEnv_sweep_1 - rewards__MIN,FOWM_HopperEnv_sweep_1 - rewards__MAX,FOWM_HopperEnv_sweep_0 - rewards,FOWM_HopperEnv_sweep_0 - rewards__MIN,FOWM_HopperEnv_sweep_0 - rewards__MAX
25600.0,195.6007843017578,195.6007843017578,195.6007843017578,78.30745697021484,78.30745697021484,78.30745697021484,208.85076904296875,208.85076904296875,208.85076904296875,142.35232543945312,142.35232543945312,142.35232543945312,225.8784942626953,225.8784942626953,225.8784942626953
51200.0,531.06689453125,531.06689453125,531.06689453125,236.8579864501953,236.8579864501953,236.8579864501953,513.2543334960938,513.2543334960938,513.2543334960938,467.4063415527344,467.4063415527344,467.4063415527344,642.5431518554688,642.5431518554688,642.5431518554688
76800.0,1107.1798095703125,1107.1798095703125,1107.1798095703125,575.1998291015625,575.1998291015625,575.1998291015625,1337.8046875,1337.8046875,1337.8046875,1108.072998046875,1108.072998046875,1108.072998046875,1247.4769287109375,1247.4769287109375,1247.4769287109375
102400.0,1259.934326171875,1259.934326171875,1259.934326171875,976.31591796875,976.31591796875,976.31591796875,1472.3621826171875,1472.3621826171875,1472.3621826171875,1257.0435791015625,1257.0435791015625,1257.0435791015625,1570.593994140625,1570.593994140625,1570.593994140625
128000.0,1746.61767578125,1746.61767578125,1746.61767578125,1463.26025390625,1463.26025390625,1463.26025390625,1118.095703125,1118.095703125,1118.095703125,1854.3388671875,1854.3388671875,1854.3388671875,1676.189697265625,1676.189697265625,1676.189697265625
153600.0,2202.194580078125,2202.194580078125,2202.194580078125,1619.3348388671875,1619.3348388671875,1619.3348388671875,1594.4017333984375,1594.4017333984375,1594.4017333984375,2171.908203125,2171.908203125,2171.908203125,1504.28173828125,1504.28173828125,1504.28173828125
179200.0,1970.361572265625,1970.361572265625,1970.361572265625,1418.33935546875,1418.33935546875,1418.33935546875,1464.5750732421875,1464.5750732421875,1464.5750732421875,1421.731689453125,1421.731689453125,1421.731689453125,1576.4991455078125,1576.4991455078125,1576.4991455078125
204800.0,2482.896240234375,2482.896240234375,2482.896240234375,1517.594970703125,1517.594970703125,1517.594970703125,1398.26416015625,1398.26416015625,1398.26416015625,2188.546630859375,2188.546630859375,2188.546630859375,1385.0250244140625,1385.0250244140625,1385.0250244140625
230400.0,2550.5751953125,2550.5751953125,2550.5751953125,2138.9833984375,2138.9833984375,2138.9833984375,1827.704833984375,1827.704833984375,1827.704833984375,2283.423828125,2283.423828125,2283.423828125,2324.2490234375,2324.2490234375,2324.2490234375
256000.0,2855.830810546875,2855.830810546875,2855.830810546875,2536.639892578125,2536.639892578125,2536.639892578125,1144.5960693359375,1144.5960693359375,1144.5960693359375,2837.75537109375,2837.75537109375,2837.75537109375,2061.015625,2061.015625,2061.015625
281600.0,2963.990966796875,2963.990966796875,2963.990966796875,2911.123291015625,2911.123291015625,2911.123291015625,1615.420166015625,1615.420166015625,1615.420166015625,3287.697998046875,3287.697998046875,3287.697998046875,1542.44775390625,1542.44775390625,1542.44775390625
307200.0,2946.00341796875,2946.00341796875,2946.00341796875,2436.923095703125,2436.923095703125,2436.923095703125,1873.2564697265625,1873.2564697265625,1873.2564697265625,3231.014404296875,3231.014404296875,3231.014404296875,1894.7220458984375,1894.7220458984375,1894.7220458984375
332800.0,2813.154052734375,2813.154052734375,2813.154052734375,2648.294677734375,2648.294677734375,2648.294677734375,2009.40380859375,2009.40380859375,2009.40380859375,3296.5673828125,3296.5673828125,3296.5673828125,2147.83984375,2147.83984375,2147.83984375
358400.0,2677.32373046875,2677.32373046875,2677.32373046875,3044.00390625,3044.00390625,3044.00390625,1699.525390625,1699.525390625,1699.525390625,3031.162109375,3031.162109375,3031.162109375,2038.568603515625,2038.568603515625,2038.568603515625
384000.0,2207.027587890625,2207.027587890625,2207.027587890625,2234.82373046875,2234.82373046875,2234.82373046875,2450.3056640625,2450.3056640625,2450.3056640625,2800.421142578125,2800.421142578125,2800.421142578125,2058.857666015625,2058.857666015625,2058.857666015625
409600.0,1417.0001220703125,1417.0001220703125,1417.0001220703125,2937.55908203125,2937.55908203125,2937.55908203125,1605.843994140625,1605.843994140625,1605.843994140625,2862.94580078125,2862.94580078125,2862.94580078125,1546.37060546875,1546.37060546875,1546.37060546875
435200.0,1856.74267578125,1856.74267578125,1856.74267578125,3201.3916015625,3201.3916015625,3201.3916015625,1554.9305419921875,1554.9305419921875,1554.9305419921875,2543.65673828125,2543.65673828125,2543.65673828125,1999.7969970703125,1999.7969970703125,1999.7969970703125
460800.0,1231.554443359375,1231.554443359375,1231.554443359375,3061.70703125,3061.70703125,3061.70703125,771.3832397460938,771.3832397460938,771.3832397460938,1883.876708984375,1883.876708984375,1883.876708984375,1706.0775146484375,1706.0775146484375,1706.0775146484375
